   K     RHOKS_109     RHOKD_109     RHOK_109
 ****  *************  **********  *************
  0    3185.6         0           3185.6
   .1  2238.6          .044273    2238.6
   .2  1000.8          .31268     1001.2
   .3   403.1          .62517      403.73
   .4   169.19         .80959      170
   .5    76.239        .86811       77.107
   .6    36.679        .84548       37.525
   .7    18.602        .77923       19.381
   .8     9.8207       .69394       10.515
   .9     5.3392       .60424        5.9435
  1       2.9618       .51819        3.48
  1.1     1.6628       .43979        2.1026
  1.2      .9375       .3706         1.3081
  1.3      .52672      .31081         .83753
  1.4      .29235      .25985         .5522
  1.5      .1586       .21686         .37545
  1.6      .08289      .18081         .2637
  1.7      .040838     .15073         .19156
  1.8      .018275     .12569         .14396
  1.9      .0068944    .10488         .11177
  2        .0018028    .087593        .089396
  2.1     1.2196E-4    .073236        .073358
  2.2     1.7148E-4    .0613          .061471
  2.3     9.8752E-4    .051365        .052353
  2.4      .0020345    .043083        .045118
  2.5      .0030313    .036167        .039198
  2.6      .0038462    .030379        .034225
  2.7      .0044329    .025525        .029958
  2.8      .0047922    .021448        .02624
  2.9      .0049482    .018015        .022963
  3        .0049354    .015119        .020055
  3.1      .0047905    .012674        .017464
  3.2      .004548     .010605        .015153
  3.3      .0042385    .008855        .013094
  3.4      .003888     .0073729       .011261
  3.5      .0035171    .0061182       .0096354
  3.6      .0031423    .005057        .0081993
  3.7      .0027758    .0041606       .0069364
  3.8      .0024264    .0034049       .0058313
  3.9      .0021001    .0027697       .0048698
  4        .0018005    .0022376       .0040381
  4.1      .0015295    .0017939       .0033234
  4.2      .0012876    .0014257       .0027133
  4.3      .0010742    .001122        .0021963
  4.4     8.8809E-4   8.7337E-4       .0017615
  4.5     7.2741E-4   6.7137E-4       .0013988
  4.6     5.9011E-4   5.0879E-4       .0010989
  4.7     4.7393E-4   3.7931E-4      8.5324E-4
  4.8     3.766E-4    2.7745E-4      6.5405E-4
  4.9     2.9588E-4   1.9843E-4      4.9431E-4
  5       2.2961E-4   1.3813E-4      3.6774E-4
  5.1     1.7579E-4   9.3005E-5      2.6879E-4
  5.2     1.3257E-4   6.003E-5       1.926E-4
  5.3     9.8295E-5   3.6639E-5      1.3493E-4
  5.4     7.1468E-5   2.068E-5       9.2148E-5
  5.5     5.0786E-5   1.0366E-5      6.1151E-5
  5.6     3.5111E-5   4.2341E-6      3.9345E-5
  5.7     2.3465E-5   1.1029E-6      2.4568E-5
  5.8     1.502E-5    3.4461E-8      1.5054E-5
  5.9     9.0768E-6   2.9944E-7      9.3762E-6
  6       5.0567E-6   1.3442E-6      6.401E-6
  6.1     2.4854E-6   2.7613E-6      5.2467E-6
  6.2     9.7885E-7   4.2624E-6      5.2413E-6
  6.3     2.3104E-7   5.6549E-6      5.8859E-6
  6.4     1.9368E-9   6.8208E-6      6.8227E-6
  6.5     1.0679E-7   7.699E-6       7.8058E-6
  6.6     4.0657E-7   8.2704E-6      8.677E-6
  6.7     7.9951E-7   8.5451E-6      9.3446E-6
  6.8     1.2138E-6   8.5521E-6      9.7659E-6
  6.9     1.6013E-6   8.3321E-6      9.9333E-6
  7       1.932E-6    7.9304E-6      9.8624E-6
  7.1     2.1899E-6   7.3933E-6      9.5832E-6
  7.2     2.3692E-6   6.7642E-6      9.1335E-6
  7.3     2.4711E-6   6.0823E-6      8.5535E-6
  7.4     2.5017E-6   5.3809E-6      7.8827E-6
  7.5     2.4701E-6   4.6872E-6      7.1573E-6
  7.6     2.3867E-6   4.0222E-6      6.4088E-6
  7.7     2.2625E-6   3.4011E-6      5.6636E-6
  7.8     2.1082E-6   2.8343E-6      4.9425E-6
  7.9     1.9338E-6   2.3274E-6      4.2612E-6
  8       1.7479E-6   1.8827E-6      3.6307E-6
  8.1     1.5582E-6   1.4995E-6      3.0576E-6
  8.2     1.3706E-6   1.1749E-6      2.5455E-6
  8.3     1.19E-6     9.0467E-7      2.0947E-6
  8.4     1.0201E-6   6.8355E-7      1.7036E-6
  8.5     8.6329E-7   5.0581E-7      1.3691E-6
  8.6     7.212E-7    3.6559E-7      1.0868E-6
  8.7     5.9455E-7   2.5718E-7      8.5174E-7
  8.8     4.8343E-7   1.7521E-7      6.5864E-7
  8.9     3.8742E-7   1.1478E-7      5.022E-7
  9       3.057E-7    7.1543E-8      3.7724E-7
  9.1     2.3721E-7   4.1723E-8      2.7893E-7
  9.2     1.8069E-7   2.2122E-8      2.0282E-7
  9.3     1.3483E-7   1.0087E-8      1.4491E-7
  9.4     9.825E-8    3.4653E-9      1.0171E-7
  9.5     6.9643E-8   5.5374E-10     7.0196E-8
  9.6     4.7751E-8   3.7023E-11     4.7788E-8
  9.7     3.1416E-8   9.2979E-10     3.2346E-8
  9.8     1.9594E-8   2.5194E-9      2.2113E-8
  9.9     1.1359E-8   4.3135E-9      1.5673E-8
 10       5.9127E-9   5.9924E-9      1.1905E-8
 10.1     2.5747E-9   7.3686E-9      9.9432E-9
 10.2     7.7987E-10  8.3517E-9      9.1315E-9
 10.3     6.7943E-11  8.9201E-9      8.988E-9
 10.4     7.2635E-11  9.0977E-9      9.1703E-9
 10.5     5.102E-10   8.9361E-9      9.4463E-9
 10.6     1.1677E-9   8.5011E-9      9.6688E-9
 10.7     1.8915E-9   7.8629E-9      9.7544E-9
 10.8     2.5766E-9   7.0891E-9      9.6657E-9
 10.9     3.1569E-9   6.2404E-9      9.3973E-9
 11       3.5965E-9   5.3685E-9      8.965E-9
 11.1     3.8819E-9   4.5149E-9      8.3968E-9
 11.2     4.016E-9    3.7107E-9      7.7267E-9
 11.3     4.0124E-9   2.9777E-9      6.99E-9
 11.4     3.8914E-9   2.329E-9       6.2204E-9
 11.5     3.6765E-9   1.771E-9       5.4475E-9
 11.6     3.3921E-9   1.3042E-9      4.6963E-9
 11.7     3.0615E-9   9.2489E-10     3.9864E-9
 11.8     2.7057E-9   6.2622E-10     3.3319E-9
 11.9     2.3429E-9   3.9946E-10     2.7423E-9
 12       1.9877E-9   2.348E-10      2.2225E-9
 12.1     1.6517E-9   1.2209E-10     1.7738E-9
 12.2     1.3431E-9   5.145E-11      1.3946E-9
 12.3     1.0672E-9   1.3644E-11     1.0809E-9
 12.4     8.2687E-10  3.6847E-13     8.2724E-10
 12.5     6.2272E-10  4.3987E-12     6.2712E-10
 12.6     4.5384E-10  1.9654E-11     4.7349E-10
 12.7     3.1802E-10  4.1193E-11     3.5921E-10
