#16O_n

#

#R = radius in fm
#RHORP = neutron density in 1/fm**3
#DRHORP = Monte Carlo error (1 sigma)

#Normalization
#4*PI*TOTINT(RHORP*R**2:R) =  N

#rms radii
#
 
#   R      RHORP    DRHORP
################
  0.00000        0.3977761E-01  0.7270764E-02
  0.5000000E-01  0.3977761E-01  0.7270764E-02
  0.1500000E+00  0.3432886E-01  0.3021383E-02
  0.2500000E+00  0.3447279E-01  0.1398880E-02
  0.3500000E+00  0.3557846E-01  0.1156221E-02
  0.4500000E+00  0.3904349E-01  0.1056546E-02
  0.5500000E+00  0.4345599E-01  0.1137811E-02
  0.6500000E+00  0.4745996E-01  0.1101440E-02
  0.7500000E+00  0.5093213E-01  0.1015185E-02
  0.8500000E+00  0.5471427E-01  0.1029324E-02
  0.9500000E+00  0.5735302E-01  0.6816694E-03
  0.1050000E+01  0.6068453E-01  0.8842794E-03
  0.1150000E+01  0.6348683E-01  0.7974932E-03
  0.1250000E+01  0.6613527E-01  0.8595128E-03
  0.1350000E+01  0.6849882E-01  0.7676191E-03
  0.1450000E+01  0.6901696E-01  0.6339343E-03
  0.1550000E+01  0.6948904E-01  0.6350361E-03
  0.1650000E+01  0.6954077E-01  0.5940557E-03
  0.1750000E+01  0.6882040E-01  0.6004899E-03
  0.1850000E+01  0.6769801E-01  0.5052714E-03
  0.1950000E+01  0.6534733E-01  0.5624448E-03
  0.2050000E+01  0.6324909E-01  0.4760269E-03
  0.2150000E+01  0.6012054E-01  0.3900726E-03
  0.2250000E+01  0.5617235E-01  0.3458679E-03
  0.2350000E+01  0.5246022E-01  0.2680113E-03
  0.2450000E+01  0.4812063E-01  0.2516390E-03
  0.2550000E+01  0.4412568E-01  0.3088018E-03
  0.2650000E+01  0.3965289E-01  0.2191090E-03
  0.2750000E+01  0.3540149E-01  0.2514858E-03
  0.2850000E+01  0.3146726E-01  0.2239669E-03
  0.2950000E+01  0.2733460E-01  0.1994153E-03
  0.3050000E+01  0.2365409E-01  0.1690652E-03
  0.3150000E+01  0.2046423E-01  0.1613537E-03
  0.3250000E+01  0.1762087E-01  0.1497100E-03
  0.3350000E+01  0.1488320E-01  0.1312267E-03
  0.3450000E+01  0.1255770E-01  0.1309189E-03
  0.3550000E+01  0.1054244E-01  0.1212878E-03
  0.3650000E+01  0.8731911E-02  0.1207074E-03
  0.3750000E+01  0.7165838E-02  0.8917937E-04
  0.3850000E+01  0.5957754E-02  0.8032834E-04
  0.3950000E+01  0.4902024E-02  0.8003383E-04
  0.4050000E+01  0.4049503E-02  0.6029128E-04
  0.4150000E+01  0.3268326E-02  0.4754318E-04
  0.4250000E+01  0.2688361E-02  0.4547205E-04
  0.4350000E+01  0.2188278E-02  0.5109076E-04
  0.4450000E+01  0.1787149E-02  0.4200189E-04
  0.4550000E+01  0.1468415E-02  0.3097102E-04
  0.4650000E+01  0.1211076E-02  0.3456344E-04
  0.4750000E+01  0.9645665E-03  0.2925790E-04
  0.4850000E+01  0.7822948E-03  0.2459329E-04
  0.4950000E+01  0.6619246E-03  0.2318018E-04
  0.5050000E+01  0.5411896E-03  0.2101308E-04
  0.5150000E+01  0.4303180E-03  0.1636158E-04
  0.5250000E+01  0.3514242E-03  0.1461036E-04
  0.5350000E+01  0.2846317E-03  0.1080946E-04
  0.5450000E+01  0.2346829E-03  0.6048509E-05
  0.5550000E+01  0.1918381E-03  0.8648616E-05
  0.5650000E+01  0.1514580E-03  0.5896980E-05
  0.5750000E+01  0.1227094E-03  0.5586055E-05
  0.5850000E+01  0.1105667E-03  0.5193437E-05
  0.5950000E+01  0.9184011E-04  0.4771840E-05
  0.6050000E+01  0.7478208E-04  0.5304612E-05
  0.6150000E+01  0.6135923E-04  0.4373802E-05
  0.6250000E+01  0.5671591E-04  0.4648935E-05
  0.6350000E+01  0.4362112E-04  0.4179155E-05
  0.6450000E+01  0.3545653E-04  0.4257429E-05
  0.6550000E+01  0.2980815E-04  0.3426395E-05
  0.6650000E+01  0.2180176E-04  0.3390458E-05
  0.6750000E+01  0.1751891E-04  0.2404406E-05
  0.6850000E+01  0.1588200E-04  0.2541184E-05
  0.6950000E+01  0.1207095E-04  0.2286752E-05
  0.7050000E+01  0.8491433E-05  0.1534378E-05
  0.7150000E+01  0.8028425E-05  0.1437874E-05
  0.7250000E+01  0.6442580E-05  0.1073263E-05
  0.7350000E+01  0.6310834E-05  0.1246319E-05
  0.7450000E+01  0.4446760E-05  0.9891070E-06
  0.7550000E+01  0.4546628E-05  0.1079080E-05
  0.7650000E+01  0.3076130E-05  0.9776823E-06
  0.7750000E+01  0.3451463E-05  0.1046966E-05
  0.7850000E+01  0.2549555E-05  0.9788896E-06
  0.7950000E+01  0.1686487E-05  0.6632906E-06
  0.8050000E+01  0.2071199E-05  0.8180604E-06
  0.8150000E+01  0.1571834E-05  0.6504994E-06
  0.8250000E+01  0.1400070E-05  0.5838810E-06
  0.8350000E+01  0.1086991E-05  0.5247262E-06
  0.8450000E+01  0.9605567E-06  0.4481364E-06
  0.8550000E+01  0.6794084E-06  0.3467889E-06
  0.8650000E+01  0.5687384E-06  0.3895077E-06
  0.8750000E+01  0.5973348E-06  0.4147975E-06
  0.8850000E+01  0.5073301E-06  0.3290784E-06
  0.8950000E+01  0.1681893E-06  0.1327876E-06
  0.9050000E+01  0.3119415E-06  0.1741190E-06
  0.9150000E+01  0.2359595E-06  0.1409968E-06
  0.9250000E+01  0.3829098E-06  0.3080978E-06
  0.9350000E+01  0.1432261E-06  0.8185435E-07
  0.9450000E+01  0.9781712E-07  0.5529913E-07
  0.9550000E+01  0.1294380E-06  0.7511187E-07
  0.9650000E+01  0.1644425E-06  0.9294450E-07
  0.9750000E+01  0.8566990E-07  0.6153363E-07
  0.9850000E+01  0.6638254E-07  0.4542888E-07
  0.9950000E+01  0.2642485E-07  0.2846430E-07
