#16O_n

#

#R = radius in fm
#RHORP = neutron density in 1/fm**3
#DRHORP = Monte Carlo error (1 sigma)

#Normalization
#4*PI*TOTINT(RHORP*R**2:R) =  N

#rms radii
#

#   R      RHORP    DRHORP
################
0.00 0.03885691954693887 0.03346170727204696
0.05 0.03885691954693887 0.03346170727204696
0.15 0.03467420007320366 0.012829253811266511
0.25 0.0359335484211956 0.006807977682679712
0.35 0.035558849720110426 0.004960584179065756
0.45 0.04039190255559131 0.00478911339850391
0.55 0.04599592566454723 0.004975647203115072
0.65 0.05234958859371312 0.005050094137816965
0.75 0.05661319691758937 0.004703638095910464
0.85 0.061571941485673125 0.004811763099849999
0.95 0.06465277256562735 0.003240776358288785
1.05 0.0678534229168156 0.004161155078886938
1.15 0.07083438357419061 0.0036844386926429542
1.25 0.07450475468264263 0.003965252453333165
1.35 0.07731495054670676 0.003561847673098453
1.45 0.07702961258261277 0.0028703823558280483
1.55 0.07679243619240195 0.002911324448614698
1.65 0.07671897257197989 0.0027058807409076472
1.75 0.07524484701400944 0.002697761045213189
1.85 0.07392752482074408 0.0022734725057384
1.95 0.07117809260008266 0.0024992703119284254
2.05 0.06859283315730633 0.002112410817598908
2.15 0.0648370952060473 0.0017780553062658275
2.25 0.05973726968836928 0.001509434560589221
2.35 0.055473018602800336 0.0011983026604064702
2.45 0.05016847900864371 0.0011481389072806824
2.55 0.046044292665186115 0.001367325073774431
2.65 0.040693181014925264 0.0009268133799805499
2.75 0.03562875574795996 0.001037808767518643
2.85 0.031705715521247645 0.0009303198048438092
2.95 0.02693664208201562 0.0008060355972825196
3.05 0.02272246061971857 0.0006688338364552427
3.15 0.019563844958444217 0.0006385592050134195
3.25 0.01657116192106608 0.0005753612211293399
3.35 0.013760664574053397 0.0004975670469170382
3.45 0.011458779814195472 0.00048245777723778324
3.55 0.009279739381978363 0.0004345575323304253
3.65 0.007601827463321936 0.00042589330721910784
3.75 0.005980519053519049 0.0003025001666754973
3.85 0.004857546242919567 0.00026892458533806185
3.95 0.003915206042123815 0.00026207724511320143
4.05 0.0031950975306568813 0.00019296383236655165
4.15 0.002447756376575753 0.00014460428685498554
4.25 0.0019463764757390195 0.0001353621621520405
4.35 0.0015420964297398684 0.000145385779872718
4.45 0.0012047342412946343 0.000114699589358901
4.55 0.0009640447911862742 8.329066933013286e-05
4.65 0.0007880273823281793 9.093012862573563e-05
4.75 0.0005794637143991159 7.130239674330394e-05
4.85 0.0004539773977859298 5.766968413907059e-05
4.95 0.00038452910427603544 5.444742491658369e-05
5.05 0.00030138485055111275 4.744595742140147e-05
5.15 0.00022652975801826792 3.483185536408317e-05
5.25 0.00017292728170455575 2.9093956706631716e-05
5.35 0.00013749373946539837 2.1177454480270455e-05
5.45 0.00010593647045102397 1.1430929187784338e-05
5.55 8.732332246917729e-05 1.6037102440339515e-05
5.65 6.222235590181502e-05 9.988774093864538e-06
5.75 4.653723642591029e-05 8.612724259899262e-06
5.85 4.3316285495505454e-05 8.28555013652086e-06
5.95 3.61956309260116e-05 7.639961534940273e-06
6.05 2.8955704836062663e-05 8.32555066643301e-06
6.15 2.1021940575968024e-05 6.084098350444722e-06
6.25 2.2691647726442828e-05 7.525770781704761e-06
6.35 1.6027473924300792e-05 6.194356007547094e-06
6.45 1.2300074449595251e-05 5.930358644332144e-06
6.55 9.971213929820991e-06 4.633887136037303e-06
6.65 6.622449698996367e-06 4.143358863391445e-06
6.75 4.5161968846672114e-06 2.5006126490195418e-06
6.85 4.481805207828344e-06 2.8785178012778392e-06
6.95 2.8633074962042995e-06 2.176286377778845e-06
7.05 1.707766897533174e-06 1.2389367940308595e-06
7.15 1.957980892807715e-06 1.4232595108277186e-06
7.25 1.4379403641990707e-06 9.62362205103306e-07
7.35 1.6052058062679362e-06 1.277675445218178e-06
7.45 8.901262362075361e-07 7.957902513976605e-07
7.55 1.1846540945005363e-06 1.1337825581731516e-06
7.65 6.820911150439016e-07 8.697048135329969e-07
7.75 8.489730837214454e-07 1.036312831139903e-06
7.85 5.285096499865052e-07 8.164524768687175e-07
7.95 2.897184202618522e-07 4.5769236593204506e-07
8.05 5.369547235874334e-07 8.536777769171774e-07
8.15 3.112274984421117e-07 5.180884880753419e-07
8.25 3.022959860952703e-07 5.078364845949314e-07
8.35 2.498760848065755e-07 4.860220715233302e-07
8.45 2.103880719073786e-07 3.946230860740809e-07
8.55 1.1170585473072306e-07 2.2901961858942846e-07
8.65 9.853204619066164e-08 2.7105439710294743e-07
8.75 1.1807473171630149e-07 3.287105349941993e-07
8.85 1.0737312173917743e-07 2.806356353538618e-07
8.95 1.4989716945794666e-08 4.75884712448115e-08
9.05 3.475252043951241e-08 7.808881878035142e-08
9.15 2.9626540190632964e-08 7.134807491811798e-08
9.25 1.2848807212494745e-07 4.174203853293017e-07
9.35 1.555227709770977e-08 3.603929891956762e-08
9.45 8.449681511753119e-09 1.946945032283366e-08
9.55 2.3018134109179018e-08 5.4652487554530876e-08
9.65 3.518839558559215e-08 8.093209788110782e-08
9.75 9.794235266506212e-09 2.843192346433176e-08
9.85 1.1632416577773336e-08 3.254563476311014e-08
9.95 1.881801412163307e-09 8.20543483421393e-09
