#16O_n

#

#R = radius in fm
#RHORP = neutron density in 1/fm**3
#DRHORP = Monte Carlo error (1 sigma)

#Normalization
#4*PI*TOTINT(RHORP*R**2:R) =  N

#rms radii
#
 
#   R      RHORP    DRHORP
################
  0.0000         0.3969469E-01  0.9030319E-02
  0.5000000E-01  0.3969469E-01  0.9030319E-02
  0.1500000E+00  0.3313109E-01  0.1885517E-02
  0.2500000E+00  0.3223860E-01  0.1575109E-02
  0.3500000E+00  0.3470164E-01  0.8784958E-03
  0.4500000E+00  0.3678971E-01  0.8900893E-03
  0.5500000E+00  0.4002242E-01  0.5418432E-03
  0.6500000E+00  0.4194352E-01  0.5503193E-03
  0.7500000E+00  0.4466727E-01  0.5219993E-03
  0.8500000E+00  0.4739601E-01  0.4996384E-03
  0.9500000E+00  0.4959625E-01  0.3939394E-03
  0.1050000E+01  0.5290633E-01  0.5043223E-03
  0.1150000E+01  0.5546852E-01  0.3729830E-03
  0.1250000E+01  0.5722762E-01  0.3263355E-03
  0.1350000E+01  0.5915972E-01  0.3145498E-03
  0.1450000E+01  0.6028057E-01  0.1874352E-03
  0.1550000E+01  0.6129677E-01  0.3080896E-03
  0.1650000E+01  0.6144685E-01  0.2684952E-03
  0.1750000E+01  0.6135939E-01  0.2516957E-03
  0.1850000E+01  0.6043229E-01  0.2229508E-03
  0.1950000E+01  0.5848342E-01  0.2018064E-03
  0.2050000E+01  0.5685298E-01  0.1844698E-03
  0.2150000E+01  0.5434325E-01  0.2407437E-03
  0.2250000E+01  0.5149004E-01  0.1453534E-03
  0.2350000E+01  0.4836173E-01  0.1693028E-03
  0.2450000E+01  0.4499405E-01  0.2088932E-03
  0.2550000E+01  0.4122213E-01  0.2042889E-03
  0.2650000E+01  0.3766617E-01  0.1034972E-03
  0.2750000E+01  0.3428987E-01  0.1098291E-03
  0.2850000E+01  0.3044414E-01  0.1081104E-03
  0.2950000E+01  0.2703992E-01  0.8953495E-04
  0.3050000E+01  0.2400383E-01  0.8405606E-04
  0.3150000E+01  0.2086700E-01  0.8770696E-04
  0.3250000E+01  0.1826523E-01  0.6493951E-04
  0.3350000E+01  0.1569194E-01  0.6256500E-04
  0.3450000E+01  0.1341545E-01  0.3894381E-04
  0.3550000E+01  0.1167535E-01  0.5061789E-04
  0.3650000E+01  0.9777414E-02  0.4407846E-04
  0.3750000E+01  0.8369866E-02  0.3751357E-04
  0.3850000E+01  0.7123142E-02  0.4452959E-04
  0.3950000E+01  0.5983009E-02  0.4394183E-04
  0.4050000E+01  0.5003141E-02  0.2510221E-04
  0.4150000E+01  0.4254083E-02  0.2172561E-04
  0.4250000E+01  0.3619693E-02  0.2912951E-04
  0.4350000E+01  0.3027031E-02  0.1953968E-04
  0.4450000E+01  0.2584364E-02  0.1946048E-04
  0.4550000E+01  0.2180338E-02  0.2030354E-04
  0.4650000E+01  0.1814366E-02  0.1525439E-04
  0.4750000E+01  0.1565170E-02  0.1603603E-04
  0.4850000E+01  0.1314105E-02  0.1183085E-04
  0.4950000E+01  0.1110737E-02  0.1148240E-04
  0.5050000E+01  0.9473291E-03  0.1218532E-04
  0.5150000E+01  0.7968511E-03  0.9016788E-05
  0.5250000E+01  0.6961827E-03  0.8879371E-05
  0.5350000E+01  0.5743902E-03  0.7308593E-05
  0.5450000E+01  0.5068049E-03  0.8073715E-05
  0.5550000E+01  0.4108307E-03  0.7141201E-05
  0.5650000E+01  0.3593862E-03  0.6997359E-05
  0.5750000E+01  0.3154122E-03  0.5217576E-05
  0.5850000E+01  0.2751192E-03  0.4936114E-05
  0.5950000E+01  0.2271601E-03  0.4185454E-05
  0.6050000E+01  0.1882714E-03  0.4380221E-05
  0.6150000E+01  0.1745864E-03  0.4333325E-05
  0.6250000E+01  0.1381870E-03  0.3449204E-05
  0.6350000E+01  0.1157316E-03  0.2898870E-05
  0.6450000E+01  0.9963413E-04  0.2097321E-05
  0.6550000E+01  0.8686512E-04  0.2933244E-05
  0.6650000E+01  0.6996613E-04  0.2345017E-05
  0.6750000E+01  0.6624677E-04  0.2387980E-05
  0.6850000E+01  0.5486316E-04  0.1473896E-05
  0.6950000E+01  0.4960647E-04  0.1462291E-05
  0.7050000E+01  0.4115824E-04  0.1282833E-05
  0.7150000E+01  0.3209044E-04  0.1976176E-05
  0.7250000E+01  0.2813858E-04  0.8768680E-06
  0.7350000E+01  0.2418612E-04  0.1179864E-05
  0.7450000E+01  0.2165505E-04  0.9468099E-06
  0.7550000E+01  0.1701025E-04  0.1031307E-05
  0.7650000E+01  0.1352354E-04  0.6600427E-06
  0.7750000E+01  0.1367842E-04  0.9121038E-06
  0.7850000E+01  0.1198945E-04  0.1000354E-05
  0.7950000E+01  0.9570030E-05  0.6899863E-06
  0.8050000E+01  0.7788062E-05  0.6923338E-06
  0.8150000E+01  0.7738536E-05  0.6788760E-06
  0.8250000E+01  0.6321069E-05  0.6277565E-06
  0.8350000E+01  0.4609466E-05  0.5391970E-06
  0.8450000E+01  0.4275120E-05  0.4038329E-06
  0.8550000E+01  0.4028184E-05  0.3754343E-06
  0.8650000E+01  0.3200155E-05  0.4016336E-06
  0.8750000E+01  0.2945792E-05  0.2749223E-06
  0.8850000E+01  0.2336733E-05  0.3681060E-06
  0.8950000E+01  0.1839614E-05  0.2990360E-06
  0.9050000E+01  0.2729502E-05  0.3452231E-06
  0.9150000E+01  0.1831966E-05  0.2696636E-06
  0.9250000E+01  0.1112381E-05  0.2458818E-06
  0.9350000E+01  0.1285801E-05  0.2439674E-06
  0.9450000E+01  0.1103857E-05  0.2440809E-06
  0.9550000E+01  0.7095400E-06  0.1772375E-06
