#16O_n

#

#R = radius in fm
#RHORP = neutron density in 1/fm**3
#DRHORP = Monte Carlo error (1 sigma)

#Normalization
#4*PI*TOTINT(RHORP*R**2:R) =  N

#rms radii
#
 
#   R      RHORP    DRHORP
################
  0.00000000000  0.3735780E-01  0.5296973E-02
  0.5000000E-01  0.3735780E-01  0.5296973E-02
  0.1500000E+00  0.3351928E-01  0.2579788E-02
  0.2500000E+00  0.3457563E-01  0.1493080E-02
  0.3500000E+00  0.3679896E-01  0.1296974E-02
  0.4500000E+00  0.4020927E-01  0.1247264E-02
  0.5500000E+00  0.4258810E-01  0.9221881E-03
  0.6500000E+00  0.4678775E-01  0.1002663E-02
  0.7500000E+00  0.5122046E-01  0.1001889E-02
  0.8500000E+00  0.5402361E-01  0.9017519E-03
  0.9500000E+00  0.5813554E-01  0.7810666E-03
  0.1050000E+01  0.6064610E-01  0.8493185E-03
  0.1150000E+01  0.6452535E-01  0.7689177E-03
  0.1250000E+01  0.6581699E-01  0.7881199E-03
  0.1350000E+01  0.6881606E-01  0.7147540E-03
  0.1450000E+01  0.6968320E-01  0.6007805E-03
  0.1550000E+01  0.7017474E-01  0.6690635E-03
  0.1650000E+01  0.7010827E-01  0.6001226E-03
  0.1750000E+01  0.6956978E-01  0.5925605E-03
  0.1850000E+01  0.6807942E-01  0.5401836E-03
  0.1950000E+01  0.6589706E-01  0.5870207E-03
  0.2050000E+01  0.6325636E-01  0.5402695E-03
  0.2150000E+01  0.6007010E-01  0.3973157E-03
  0.2250000E+01  0.5632373E-01  0.4318894E-03
  0.2350000E+01  0.5252989E-01  0.3228457E-03
  0.2450000E+01  0.4819654E-01  0.3019444E-03
  0.2550000E+01  0.4398511E-01  0.2055479E-03
  0.2650000E+01  0.3948712E-01  0.2163555E-03
  0.2750000E+01  0.3523404E-01  0.2045298E-03
  0.2850000E+01  0.3113418E-01  0.1758745E-03
  0.2950000E+01  0.2707425E-01  0.1588269E-03
  0.3050000E+01  0.2379196E-01  0.1468121E-03
  0.3150000E+01  0.2041786E-01  0.2007445E-03
  0.3250000E+01  0.1760970E-01  0.1816202E-03
  0.3350000E+01  0.1481480E-01  0.1534284E-03
  0.3450000E+01  0.1238942E-01  0.1243971E-03
  0.3550000E+01  0.1046418E-01  0.1143753E-03
  0.3650000E+01  0.8711224E-02  0.9619145E-04
  0.3750000E+01  0.7150034E-02  0.9287725E-04
  0.3850000E+01  0.5970514E-02  0.6813917E-04
  0.3950000E+01  0.4871212E-02  0.7518525E-04
  0.4050000E+01  0.4070527E-02  0.6782180E-04
  0.4150000E+01  0.3276693E-02  0.5461101E-04
  0.4250000E+01  0.2711732E-02  0.5807768E-04
  0.4350000E+01  0.2147174E-02  0.4837978E-04
  0.4450000E+01  0.1821828E-02  0.5072458E-04
  0.4550000E+01  0.1458439E-02  0.4265850E-04
  0.4650000E+01  0.1220284E-02  0.4453849E-04
  0.4750000E+01  0.9699431E-03  0.2993271E-04
  0.4850000E+01  0.7885659E-03  0.3150177E-04
  0.4950000E+01  0.6580905E-03  0.2752239E-04
  0.5050000E+01  0.5389470E-03  0.1976705E-04
  0.5150000E+01  0.4361057E-03  0.1991548E-04
  0.5250000E+01  0.3603373E-03  0.1728721E-04
  0.5350000E+01  0.2950760E-03  0.1396856E-04
  0.5450000E+01  0.2409504E-03  0.1030961E-04
  0.5550000E+01  0.1938909E-03  0.1076908E-04
  0.5650000E+01  0.1640911E-03  0.9053885E-05
  0.5750000E+01  0.1304494E-03  0.9056365E-05
  0.5850000E+01  0.9750118E-04  0.7193330E-05
  0.5950000E+01  0.8414430E-04  0.6265774E-05
  0.6050000E+01  0.6723597E-04  0.6281846E-05
  0.6150000E+01  0.5317854E-04  0.4901325E-05
  0.6250000E+01  0.4703319E-04  0.3447438E-05
  0.6350000E+01  0.3720129E-04  0.3596107E-05
  0.6450000E+01  0.2961300E-04  0.2808525E-05
  0.6550000E+01  0.2611757E-04  0.2752174E-05
  0.6650000E+01  0.2057900E-04  0.2595521E-05
  0.6750000E+01  0.1502120E-04  0.1513316E-05
  0.6850000E+01  0.1271596E-04  0.1365664E-05
  0.6950000E+01  0.8625704E-05  0.1055490E-05
  0.7050000E+01  0.8242728E-05  0.1256997E-05
  0.7150000E+01  0.7354499E-05  0.1173346E-05
  0.7250000E+01  0.5178092E-05  0.9872320E-06
  0.7350000E+01  0.5321275E-05  0.1435093E-05
  0.7450000E+01  0.3845055E-05  0.9555539E-06
  0.7550000E+01  0.3117428E-05  0.8251328E-06
  0.7650000E+01  0.2694574E-05  0.9536357E-06
  0.7750000E+01  0.2105001E-05  0.9116643E-06
  0.7850000E+01  0.1430753E-05  0.6243280E-06
  0.7950000E+01  0.1285815E-05  0.4892319E-06
  0.8050000E+01  0.1478853E-05  0.6692882E-06
  0.8150000E+01  0.1146501E-05  0.5323666E-06
  0.8250000E+01  0.1022277E-05  0.4246165E-06
  0.8350000E+01  0.7262935E-06  0.3571482E-06
  0.8450000E+01  0.3856570E-06  0.2297668E-06
  0.8550000E+01  0.3174946E-06  0.1901304E-06
  0.8650000E+01  0.3547668E-06  0.2252863E-06
  0.8750000E+01  0.3538623E-06  0.2752095E-06
  0.8850000E+01  0.2252083E-06  0.1572578E-06
  0.8950000E+01  0.7032577E-07  0.5697455E-07
  0.9050000E+01  0.1821008E-07  0.3276194E-07
  0.9150000E+01  0.3875086E-07  0.3544341E-07
  0.9250000E+01  0.1100058E-06  0.8962449E-07
  0.9350000E+01  0.1194321E-06  0.8053481E-07
  0.9450000E+01  0.3155879E-07  0.2323336E-07
  0.9550000E+01  0.3715094E-07  0.2046182E-07
  0.9650000E+01  0.4141204E-07  0.2756262E-07
  0.9750000E+01  0.3748840E-07  0.4971834E-07
  0.9850000E+01  0.1237116E-07  0.8639358E-08
  0.9950000E+01  0.1245892E-07  0.1342049E-07
