#16O_p

#

#R = radius in fm
#RHORP = neutron density in 1/fm**3
#DRHORP = Monte Carlo error (1 sigma)

#Normalization
#4*PI*TOTINT(RHORP*R**2:R) =  N

#rms radii
#

#   R      RHORP    DRHORP
################
0.00 0.06152232166921996 0.04569959106011898
0.05 0.06152232166921996 0.04569959106011898
0.15 0.03385329194783919 0.011112974347314748
0.25 0.033967708818860784 0.006389422898476527
0.35 0.03961019512813646 0.005811170569788558
0.45 0.042140272343913814 0.0056591355831112945
0.55 0.04557903271547883 0.004119931838518302
0.65 0.050379174165405466 0.004670247851360102
0.75 0.05601613415502002 0.004573295825481886
0.85 0.060222248234054 0.004179086240070473
0.95 0.06560589188916553 0.003621165616460056
1.05 0.06922884729056303 0.004094030289518375
1.15 0.07304806901514474 0.003619340628139923
1.25 0.07361968105373098 0.0036657557543847627
1.35 0.07847189397806564 0.003375166685558604
1.45 0.0775036175708897 0.002764736801033917
1.55 0.0787917252303523 0.003131964844441999
1.65 0.07777419842996923 0.0027842431825991863
1.75 0.07707816410399312 0.0026887763373946304
1.85 0.07496840199403547 0.0024586382872922746
1.95 0.07264100384695416 0.0026917465032287712
2.05 0.06858878047277159 0.002399164731516391
2.15 0.06450221417160676 0.0017585830358692591
2.25 0.060023927263729446 0.0018805269657347944
2.35 0.05566403868760907 0.001408709989517237
2.45 0.05028566664948096 0.0012996800548016525
2.55 0.045705822688133495 0.0009253115113020589
2.65 0.040278249574625655 0.0009187486538284668
2.75 0.03510381293747471 0.0008595753000446018
2.85 0.0308359306205615 0.0007377951704090033
2.95 0.026348260078979585 0.0006422131251447039
3.05 0.02296749366280971 0.000588319221455467
3.15 0.019298591004810146 0.0007783681194582533
3.25 0.01658488618664833 0.0006951242930174136
3.35 0.013640050515492583 0.0005717228118402329
3.45 0.011112892547811878 0.0004566729185489849
3.55 0.009242506656977054 0.00041493986823517296
3.65 0.00753386642320585 0.00034040369916438164
3.75 0.00594613270577899 0.000315768742431154
3.85 0.004858815057257291 0.00022558226085489137
3.95 0.003824158421205247 0.00024156515688258479
4.05 0.003182584259766457 0.00021462167101258712
4.15 0.0024656006489478686 0.00016608342618262793
4.25 0.0019853197169689787 0.00017380540605024713
4.35 0.001476196510991684 0.0001348716511547868
4.45 0.0012914985414265816 0.00014490660372570418
4.55 0.0009656827401070477 0.00011391520447457843
4.65 0.000799548783878272 0.00011767657676465855
4.75 0.0005837277252497425 7.27332134988169e-05
4.85 0.00046195129863278505 7.453754341119054e-05
4.95 0.000380116506120871 6.405473060019584e-05
5.05 0.0003003983294381726 4.454304264587346e-05
5.15 0.00022629545805263104 4.177782559563627e-05
5.25 0.00018027698303438628 3.486003998030968e-05
5.35 0.00014691313678367326 2.8110964998586427e-05
5.45 0.00011192491027652513 1.9410210399390017e-05
5.55 8.674397695032655e-05 1.939688917410758e-05
5.65 7.273205291359941e-05 1.6286022083307953e-05
5.75 5.135834710023564e-05 1.4419028666040597e-05
5.85 3.367570632107861e-05 1.0008059291630184e-05
5.95 2.993465820337046e-05 8.969507467746466e-06
6.05 2.3340603092738754e-05 8.763372797992198e-06
6.15 1.684046114751768e-05 6.2492758523469105e-06
6.25 1.5251135785126485e-05 4.5339740091145e-06
6.35 1.1195789617998913e-05 4.362002181831379e-06
6.45 8.534047964273949e-06 3.2686611163531116e-06
6.55 7.647781079337178e-06 3.251704235642922e-06
6.65 5.4587738944742975e-06 2.77688301598614e-06
6.75 3.1524371554670627e-06 1.2778062898051742e-06
6.85 2.9454724437941435e-06 1.275809482918496e-06
6.95 1.5332971688911804e-06 7.555499271522695e-07
7.05 1.704240189652366e-06 1.052154388664657e-06
7.15 1.5202183378343084e-06 9.838625066283925e-07
7.25 9.093646750206808e-07 6.998182035429739e-07
7.35 1.1417255764575128e-06 1.2417242269001886e-06
7.45 6.977887595582195e-07 6.974093359000673e-07
7.55 5.289076303749605e-07 5.643347998962822e-07
7.65 4.6230330316338145e-07 6.585939279967345e-07
7.75 3.037377847654627e-07 5.273261812760713e-07
7.85 2.0024202783152342e-07 3.5058020768717604e-07
7.95 1.879225449855987e-07 2.877209912498391e-07
8.05 2.88459063188199e-07 5.252002117545285e-07
8.15 1.9761196955170393e-07 3.7018616843451364e-07
8.25 1.6162591674359652e-07 2.702703648301022e-07
8.35 1.0095517355086589e-07 1.9960831058781578e-07
8.45 3.623544300747204e-08 8.654596023689231e-08
8.55 2.5569691621088203e-08 6.144475378776991e-08
8.65 4.0422795344611644e-08 1.0327150195070768e-07
8.75 5.59258605863874e-08 1.7474392657997973e-07
8.85 1.6345467195218577e-08 4.583596672339344e-08
8.95 2.3593232988529274e-09 7.681062154647688e-09
9.05 1.4968510133166462e-10 1.0779942904118838e-09
9.15 1.0669268689529391e-09 3.945155780529012e-09
9.25 1.017271113672738e-08 3.3380235401371886e-08
9.35 9.448622748269684e-09 2.5779091742249835e-08
9.45 9.848350598392232e-10 2.916283233747718e-09
9.55 1.818441226210258e-09 4.082759262648367e-09
9.65 1.7363911924295686e-09 4.657698073716749e-09
9.75 1.8466560564350459e-09 9.835110643279726e-09
9.85 2.5176263263092895e-10 7.148998516760363e-10
9.95 6.658201269081091e-10 2.920775884658238e-09
