#16O_n

#

#R = radius in fm
#RHORP = neutron density in 1/fm**3
#DRHORP = Monte Carlo error (1 sigma)

#Normalization
#4*PI*TOTINT(RHORP*R**2:R) =  N

#rms radii
#
 
#   R      RHORP    DRHORP
################
  0.0000000      0.2208665E-01  0.5297340E-02
  0.5000000E-01  0.2208665E-01  0.5297340E-02
  0.1500000E+00  0.3231383E-01  0.1841055E-02
  0.2500000E+00  0.3426683E-01  0.1275987E-02
  0.3500000E+00  0.3328619E-01  0.6757020E-03
  0.4500000E+00  0.3735554E-01  0.9595708E-03
  0.5500000E+00  0.3874462E-01  0.5008517E-03
  0.6500000E+00  0.4230710E-01  0.7466069E-03
  0.7500000E+00  0.4560094E-01  0.5316915E-03
  0.8500000E+00  0.4718568E-01  0.4462207E-03
  0.9500000E+00  0.5015804E-01  0.3157033E-03
  0.1050000E+01  0.5172716E-01  0.4902101E-03
  0.1150000E+01  0.5549476E-01  0.3752442E-03
  0.1250000E+01  0.5729043E-01  0.3897983E-03
  0.1350000E+01  0.5875779E-01  0.3270289E-03
  0.1450000E+01  0.6100061E-01  0.2782157E-03
  0.1550000E+01  0.6085286E-01  0.3410279E-03
  0.1650000E+01  0.6153227E-01  0.3215193E-03
  0.1750000E+01  0.6113781E-01  0.2289861E-03
  0.1850000E+01  0.6019403E-01  0.2486002E-03
  0.1950000E+01  0.5820365E-01  0.2959621E-03
  0.2050000E+01  0.5680091E-01  0.2132164E-03
  0.2150000E+01  0.5446808E-01  0.1793290E-03
  0.2250000E+01  0.5145865E-01  0.1643011E-03
  0.2350000E+01  0.4826566E-01  0.1449995E-03
  0.2450000E+01  0.4497669E-01  0.1422955E-03
  0.2550000E+01  0.4121353E-01  0.1602141E-03
  0.2650000E+01  0.3769123E-01  0.1191340E-03
  0.2750000E+01  0.3443266E-01  0.1338545E-03
  0.2850000E+01  0.3060679E-01  0.1204130E-03
  0.2950000E+01  0.2708700E-01  0.8929361E-04
  0.3050000E+01  0.2399644E-01  0.8217756E-04
  0.3150000E+01  0.2103269E-01  0.9412642E-04
  0.3250000E+01  0.1820503E-01  0.6736414E-04
  0.3350000E+01  0.1566663E-01  0.5002196E-04
  0.3450000E+01  0.1344853E-01  0.5850466E-04
  0.3550000E+01  0.1153508E-01  0.5882836E-04
  0.3650000E+01  0.9807096E-02  0.4667849E-04
  0.3750000E+01  0.8371082E-02  0.4592407E-04
  0.3850000E+01  0.7143204E-02  0.3020941E-04
  0.3950000E+01  0.6041408E-02  0.4036747E-04
  0.4050000E+01  0.5068989E-02  0.2607823E-04
  0.4150000E+01  0.4239833E-02  0.2044857E-04
  0.4250000E+01  0.3606310E-02  0.3250897E-04
  0.4350000E+01  0.3040817E-02  0.2278044E-04
  0.4450000E+01  0.2502193E-02  0.1703886E-04
  0.4550000E+01  0.2144579E-02  0.1615210E-04
  0.4650000E+01  0.1813330E-02  0.1689842E-04
  0.4750000E+01  0.1569214E-02  0.1330993E-04
  0.4850000E+01  0.1310629E-02  0.1467234E-04
  0.4950000E+01  0.1109314E-02  0.1125895E-04
  0.5050000E+01  0.9414442E-03  0.1013422E-04
  0.5150000E+01  0.8182908E-03  0.1094879E-04
  0.5250000E+01  0.7012585E-03  0.8341510E-05
  0.5350000E+01  0.5770416E-03  0.7938766E-05
  0.5450000E+01  0.5050432E-03  0.7066474E-05
  0.5550000E+01  0.4219641E-03  0.5350971E-05
  0.5650000E+01  0.3604493E-03  0.6813143E-05
  0.5750000E+01  0.3226065E-03  0.6663604E-05
  0.5850000E+01  0.2748546E-03  0.4825823E-05
  0.5950000E+01  0.2302900E-03  0.3752674E-05
  0.6050000E+01  0.1885781E-03  0.3401145E-05
  0.6150000E+01  0.1635004E-03  0.3457198E-05
  0.6250000E+01  0.1412234E-03  0.3472505E-05
  0.6350000E+01  0.1203542E-03  0.2877856E-05
  0.6450000E+01  0.1000483E-03  0.2638958E-05
  0.6550000E+01  0.8684205E-04  0.2422860E-05
  0.6650000E+01  0.7553590E-04  0.2464305E-05
  0.6750000E+01  0.6968877E-04  0.1521169E-05
  0.6850000E+01  0.5344946E-04  0.1479415E-05
  0.6950000E+01  0.4724575E-04  0.1344695E-05
  0.7050000E+01  0.3881603E-04  0.1847588E-05
  0.7150000E+01  0.3464178E-04  0.1865021E-05
  0.7250000E+01  0.2870790E-04  0.1480802E-05
  0.7350000E+01  0.2414736E-04  0.1669570E-05
  0.7450000E+01  0.2062914E-04  0.1069805E-05
  0.7550000E+01  0.1789011E-04  0.1184319E-05
  0.7650000E+01  0.1529161E-04  0.1219308E-05
  0.7750000E+01  0.1420384E-04  0.8094386E-06
  0.7850000E+01  0.9953460E-05  0.6793362E-06
  0.7950000E+01  0.8566000E-05  0.7149107E-06
  0.8050000E+01  0.7381860E-05  0.7179204E-06
  0.8150000E+01  0.6476429E-05  0.7895944E-06
  0.8250000E+01  0.6295441E-05  0.5956925E-06
  0.8350000E+01  0.5087398E-05  0.5110514E-06
  0.8450000E+01  0.3996399E-05  0.3181592E-06
  0.8550000E+01  0.3838373E-05  0.3676145E-06
  0.8650000E+01  0.3031514E-05  0.4145056E-06
  0.8750000E+01  0.2179997E-05  0.3179066E-06
  0.8850000E+01  0.3021144E-05  0.3763889E-06
  0.8950000E+01  0.2040993E-05  0.3187020E-06
  0.9050000E+01  0.2156975E-05  0.2981148E-06
  0.9150000E+01  0.1370339E-05  0.3674088E-06
  0.9250000E+01  0.1158229E-05  0.2219085E-06
  0.9350000E+01  0.1469852E-05  0.3018185E-06
  0.9450000E+01  0.9846393E-06  0.1533015E-06
  0.9550000E+01  0.7389930E-06  0.1598925E-06
  0.9650000E+01  0.9616248E-06  0.1576726E-06
  0.9750000E+01  0.7409822E-06  0.1749377E-06
  0.9850000E+01  0.5918744E-06  0.1509569E-06
  0.9950000E+01  0.2269885E-06  0.9347921E-07
