   K        RHOKS         RHOKD        RHOK
 *****  *************  **********  ************
   0     3213.3         0           3213.3
   .05  2925.6          .0038987   2925.6
   .1   2257.2          .048093    2257.3
   .15  1554.3          .16703     1554.5
   .2   1007.3          .3402      1007.6
   .25   638.18         .52285      638.7
   .3    404.39         .68188      405.07
   .35   259.24         .80336      260.04
   .4    168.95         .88588      169.83
   .45   112.1          .93385      113.03
   .5     75.675        .95364       76.629
   .55    51.919        .95149       52.871
   .6     36.139        .93296       37.072
   .65    25.478        .90261       26.381
   .7     18.165        .8641        19.029
   .75    13.075        .82035       13.895
   .8      9.4896       .77354       10.263
   .85     6.9347       .72538        7.6601
   .9      5.0965       .67713        5.7736
   .95     3.763        .62969        4.3927
  1        2.7877       .58373        3.3715
  1.05     2.0706       .5397         2.6103
  1.1      1.5401       .49787        2.038
  1.15     1.146        .45842        1.6044
  1.2       .8524       .42142        1.2738
  1.25      .63289      .38689        1.0198
  1.3       .46867      .35478         .82345
  1.35      .34565      .32501         .67066
  1.4       .25352      .2975          .55103
  1.45      .18467      .27212         .4568
  1.5       .13328      .24876         .38204
  1.55      .095126     .22728         .32241
  1.6       .066917     .20757         .27449
  1.65      .04622      .18949         .23571
  1.7       .031195     .17293         .20413
  1.75      .020412     .15777         .17819
  1.8       .012823     .14391         .15673
  1.85      .0076034    .13123         .13884
  1.9       .0041382    .11965         .12379
  1.95      .001962     .10907         .11103
  2        7.1403E-4    .099409        .10012
  2.05     1.2937E-4    .09059         .090719
  2.1      4.1005E-6    .082542        .082546
  2.15     1.8755E-4    .075198        .075386
  2.2      5.6657E-4    .068499        .069066
  2.25      .0010602    .062389        .063449
  2.3       .0016065    .056816        .058422
  2.35      .0021641    .051734        .053898
  2.4       .002704     .0471          .049804
  2.45      .003204     .042875        .046079
  2.5       .0036553    .039023        .042678
  2.55      .0040477    .035512        .039559
  2.6       .0043799    .032311        .036691
  2.65      .0046525    .029394        .034047
  2.7       .0048645    .026736        .0316
  2.75      .005023     .024313        .029336
  2.8       .0051288    .022106        .027235
  2.85      .005188     .020094        .025282
  2.9       .0052061    .018262        .023468
  2.95      .0051853    .016593        .021778
  3         .0051337    .015073        .020207
  3.05      .005053     .013689        .018742
  3.1       .0049487    .012428        .017377
  3.15      .0048253    .011281        .016106
  3.2       .0046843    .010236        .01492
  3.25      .0045317    .0092853       .013817
  3.3       .0043682    .0084203       .012788
  3.35      .0041973    .0076332       .011831
  3.4       .0040219    .0069175       .010939
  3.45      .0038423    .0062665       .010109
  3.5       .0036625    .0056747       .0093372
  3.55      .0034822    .0051368       .008619
  3.6       .0033034    .004648        .0079514
  3.65      .0031277    .004204        .0073318
  3.7       .0029547    .0038008       .0067555
  3.75      .0027867    .0034347       .0062214
  3.8       .0026231    .0031024       .0057256
  3.85      .0024649    .002801        .0052658
  3.9       .0023128    .0025275       .0048403
  3.95      .002166     .0022796       .0044456
  4         .002026     .002055        .0040809
  4.05      .0018919    .0018514       .0037433
  4.1       .0017642    .0016671       .0034312
  4.15      .0016431    .0015002       .0031433
  4.2       .0015277    .0013492       .002877
