    W        Theta    pi0-p       pip-n
 1080.0000    0.1000  0.4960E-02  0.2991E+00
 1080.0000   10.0000  0.4926E-02  0.2992E+00
 1080.0000   20.0000  0.4825E-02  0.2996E+00
 1080.0000   30.0000  0.4662E-02  0.3001E+00
 1080.0000   40.0000  0.4446E-02  0.3009E+00
 1080.0000   50.0000  0.4187E-02  0.3018E+00
 1080.0000   60.0000  0.3897E-02  0.3029E+00
 1080.0000   70.0000  0.3589E-02  0.3042E+00
 1080.0000   80.0000  0.3275E-02  0.3055E+00
 1080.0000   90.0000  0.2965E-02  0.3069E+00
 1080.0000  100.0000  0.2671E-02  0.3083E+00
 1080.0000  110.0000  0.2400E-02  0.3097E+00
 1080.0000  120.0000  0.2158E-02  0.3110E+00
 1080.0000  130.0000  0.1949E-02  0.3122E+00
 1080.0000  140.0000  0.1777E-02  0.3133E+00
 1080.0000  150.0000  0.1642E-02  0.3141E+00
 1080.0000  160.0000  0.1545E-02  0.3148E+00
 1080.0000  170.0000  0.1488E-02  0.3152E+00
 1080.0000  179.9000  0.1468E-02  0.3153E+00
 1090.0000    0.1000  0.1748E-01  0.2828E+00
 1090.0000   10.0000  0.1721E-01  0.2831E+00
 1090.0000   20.0000  0.1644E-01  0.2841E+00
 1090.0000   30.0000  0.1523E-01  0.2859E+00
 1090.0000   40.0000  0.1369E-01  0.2883E+00
 1090.0000   50.0000  0.1194E-01  0.2914E+00
 1090.0000   60.0000  0.1011E-01  0.2951E+00
 1090.0000   70.0000  0.8311E-02  0.2995E+00
 1090.0000   80.0000  0.6649E-02  0.3043E+00
 1090.0000   90.0000  0.5187E-02  0.3097E+00
 1090.0000  100.0000  0.3963E-02  0.3153E+00
 1090.0000  110.0000  0.2984E-02  0.3210E+00
 1090.0000  120.0000  0.2239E-02  0.3266E+00
 1090.0000  130.0000  0.1697E-02  0.3318E+00
 1090.0000  140.0000  0.1324E-02  0.3366E+00
 1090.0000  150.0000  0.1081E-02  0.3405E+00
 1090.0000  160.0000  0.9347E-03  0.3435E+00
 1090.0000  170.0000  0.8577E-03  0.3454E+00
 1090.0000  179.9000  0.8340E-03  0.3460E+00
 1100.0000    0.1000  0.3791E-01  0.2712E+00
 1100.0000   10.0000  0.3722E-01  0.2716E+00
 1100.0000   20.0000  0.3524E-01  0.2727E+00
