    W        Theta    pip-n       pi0-p
 1080.0000    0.1000  0.1011E+00  0.2991E+00
 1080.0000   10.0000  0.1014E+00  0.2992E+00
 1080.0000   20.0000  0.1020E+00  0.2996E+00
 1080.0000   30.0000  0.1030E+00  0.3001E+00
 1080.0000   40.0000  0.1044E+00  0.3009E+00
 1080.0000   50.0000  0.1062E+00  0.3018E+00
 1080.0000   60.0000  0.1082E+00  0.3029E+00
 1080.0000   70.0000  0.1105E+00  0.3042E+00
 1080.0000   80.0000  0.1129E+00  0.3055E+00
 1080.0000   90.0000  0.1155E+00  0.3069E+00
 1080.0000  100.0000  0.1181E+00  0.3083E+00
 1080.0000  110.0000  0.1206E+00  0.3097E+00
 1080.0000  120.0000  0.1230E+00  0.3110E+00
 1080.0000  130.0000  0.1252E+00  0.3122E+00
 1080.0000  140.0000  0.1271E+00  0.3133E+00
 1080.0000  150.0000  0.1286E+00  0.3141E+00
 1080.0000  160.0000  0.1298E+00  0.3148E+00
 1080.0000  170.0000  0.1305E+00  0.3152E+00
 1080.0000  179.9000  0.1307E+00  0.3153E+00
 1090.0000    0.1000  0.6249E-01  0.2828E+00
 1090.0000   10.0000  0.6315E-01  0.2831E+00
 1090.0000   20.0000  0.6513E-01  0.2841E+00
 1090.0000   30.0000  0.6843E-01  0.2859E+00
 1090.0000   40.0000  0.7302E-01  0.2883E+00
 1090.0000   50.0000  0.7888E-01  0.2914E+00
 1090.0000   60.0000  0.8593E-01  0.2951E+00
 1090.0000   70.0000  0.9406E-01  0.2995E+00
 1090.0000   80.0000  0.1031E+00  0.3043E+00
 1090.0000   90.0000  0.1129E+00  0.3097E+00
 1090.0000  100.0000  0.1230E+00  0.3153E+00
 1090.0000  110.0000  0.1333E+00  0.3210E+00
 1090.0000  120.0000  0.1433E+00  0.3266E+00
 1090.0000  130.0000  0.1526E+00  0.3318E+00
 1090.0000  140.0000  0.1609E+00  0.3366E+00
 1090.0000  150.0000  0.1678E+00  0.3405E+00
 1090.0000  160.0000  0.1729E+00  0.3435E+00
 1090.0000  170.0000  0.1761E+00  0.3454E+00
 1090.0000  179.9000  0.1772E+00  0.3460E+00
 1100.0000    0.1000  0.3439E-01  0.2712E+00
 1100.0000   10.0000  0.3517E-01  0.2716E+00
 1100.0000   20.0000  0.3754E-01  0.2727E+00
 1100.0000   30.0000  0.4157E-01  0.2747E+00
 1100.0000   40.0000  0.4737E-01  0.2776E+00
 1100.0000   50.0000  0.5502E-01  0.2815E+00
 1100.0000   60.0000  0.6458E-01  0.2864E+00
 1100.0000   70.0000  0.7603E-01  0.2924E+00
 1100.0000   80.0000  0.8923E-01  0.2995E+00
 1100.0000   90.0000  0.1039E+00  0.3076E+00
 1100.0000  100.0000  0.1197E+00  0.3165E+00
 1100.0000  110.0000  0.1361E+00  0.3259E+00
 1100.0000  120.0000  0.1524E+00  0.3355E+00
 1100.0000  130.0000  0.1680E+00  0.3448E+00
 1100.0000  140.0000  0.1820E+00  0.3533E+00
 1100.0000  150.0000  0.1938E+00  0.3606E+00
 1100.0000  160.0000  0.2028E+00  0.3662E+00
 1100.0000  170.0000  0.2084E+00  0.3697E+00
 1100.0000  179.9000  0.2103E+00  0.3708E+00
 1110.0000    0.1000  0.1768E-01  0.2665E+00
 1110.0000   10.0000  0.1837E-01  0.2667E+00
 1110.0000   20.0000  0.2049E-01  0.2675E+00
 1110.0000   30.0000  0.2426E-01  0.2691E+00
 1110.0000   40.0000  0.2993E-01  0.2715E+00
 1110.0000   50.0000  0.3780E-01  0.2751E+00
 1110.0000   60.0000  0.4811E-01  0.2800E+00
 1110.0000   70.0000  0.6099E-01  0.2866E+00
 1110.0000   80.0000  0.7644E-01  0.2948E+00
 1110.0000   90.0000  0.9421E-01  0.3046E+00
 1110.0000  100.0000  0.1139E+00  0.3160E+00
 1110.0000  110.0000  0.1348E+00  0.3284E+00
 1110.0000  120.0000  0.1562E+00  0.3416E+00
 1110.0000  130.0000  0.1769E+00  0.3546E+00
 1110.0000  140.0000  0.1960E+00  0.3669E+00
 1110.0000  150.0000  0.2122E+00  0.3776E+00
 1110.0000  160.0000  0.2246E+00  0.3859E+00
 1110.0000  170.0000  0.2324E+00  0.3911E+00
 1110.0000  179.9000  0.2350E+00  0.3929E+00
 1120.0000    0.1000  0.9205E-02  0.2671E+00
 1120.0000   10.0000  0.9664E-02  0.2671E+00
 1120.0000   20.0000  0.1116E-01  0.2672E+00
