    W        Theta    pip-p
 1080.0000    0.1000  0.2079E+00
 1080.0000   10.0000  0.2077E+00
 1080.0000   20.0000  0.2072E+00
 1080.0000   30.0000  0.2064E+00
 1080.0000   40.0000  0.2054E+00
 1080.0000   50.0000  0.2040E+00
 1080.0000   60.0000  0.2025E+00
 1080.0000   70.0000  0.2009E+00
 1080.0000   80.0000  0.1992E+00
 1080.0000   90.0000  0.1974E+00
 1080.0000  100.0000  0.1956E+00
 1080.0000  110.0000  0.1939E+00
 1080.0000  120.0000  0.1924E+00
 1080.0000  130.0000  0.1910E+00
 1080.0000  140.0000  0.1898E+00
 1080.0000  150.0000  0.1888E+00
 1080.0000  160.0000  0.1881E+00
 1080.0000  170.0000  0.1877E+00
 1080.0000  179.9000  0.1875E+00
 1090.0000    0.1000  0.2552E+00
 1090.0000   10.0000  0.2544E+00
 1090.0000   20.0000  0.2519E+00
 1090.0000   30.0000  0.2479E+00
 1090.0000   40.0000  0.2426E+00
 1090.0000   50.0000  0.2364E+00
 1090.0000   60.0000  0.2294E+00
 1090.0000   70.0000  0.2220E+00
 1090.0000   80.0000  0.2145E+00
 1090.0000   90.0000  0.2072E+00
 1090.0000  100.0000  0.2002E+00
 1090.0000  110.0000  0.1936E+00
 1090.0000  120.0000  0.1878E+00
 1090.0000  130.0000  0.1826E+00
 1090.0000  140.0000  0.1783E+00
 1090.0000  150.0000  0.1749E+00
 1090.0000  160.0000  0.1725E+00
 1090.0000  170.0000  0.1710E+00
 1090.0000  179.9000  0.1705E+00
 1100.0000    0.1000  0.3126E+00
 1100.0000   10.0000  0.3109E+00
 1100.0000   20.0000  0.3057E+00
 1100.0000   30.0000  0.2975E+00
 1100.0000   40.0000  0.2869E+00
 1100.0000   50.0000  0.2747E+00
 1100.0000   60.0000  0.2615E+00
 1100.0000   70.0000  0.2480E+00
 1100.0000   80.0000  0.2348E+00
 1100.0000   90.0000  0.2223E+00
 1100.0000  100.0000  0.2107E+00
 1100.0000  110.0000  0.2003E+00
 1100.0000  120.0000  0.1912E+00
 1100.0000  130.0000  0.1833E+00
 1100.0000  140.0000  0.1768E+00
 1100.0000  150.0000  0.1716E+00
 1100.0000  160.0000  0.1679E+00
 1100.0000  170.0000  0.1657E+00
 1100.0000  179.9000  0.1649E+00
 1110.0000    0.1000  0.3762E+00
 1110.0000   10.0000  0.3732E+00
 1110.0000   20.0000  0.3646E+00
 1110.0000   30.0000  0.3512E+00
 1110.0000   40.0000  0.3342E+00
 1110.0000   50.0000  0.3150E+00
 1110.0000   60.0000  0.2949E+00
 1110.0000   70.0000  0.2751E+00
 1110.0000   80.0000  0.2563E+00
 1110.0000   90.0000  0.2391E+00
 1110.0000  100.0000  0.2236E+00
 1110.0000  110.0000  0.2101E+00
 1110.0000  120.0000  0.1983E+00
 1110.0000  130.0000  0.1884E+00
 1110.0000  140.0000  0.1802E+00
 1110.0000  150.0000  0.1737E+00
