Achilles
MINERvA Flux
units: v/m^2/POT/500MeV
lower edge      upper edge   value  
0    0.05    14383104.34483624
0.05    0.1    53230835.6944257
0.1    0.15    88803173.26700419
0.15    0.2    100397794.9532043
0.2    0.25    89570947.04380885
0.25    0.3    96466400.58012521
0.3    0.35    95904291.1629882
0.35    0.4    92544011.22466177
0.4    0.45    91264103.74459662
0.45    0.5    86865088.62263209
0.5    0.55    88927280.33442764
0.55    0.6    81035342.64499223
0.6    0.65    84998958.76356809
0.65    0.7    77139669.59771553
0.7    0.75    73194532.97026561
0.75    0.8    68754077.69614561
0.8    0.85    64095368.10881943
0.85    0.9    60703591.94774245
0.9    0.95    57061083.66111087
0.95    1    55713403.82098091
1    1.05    53653474.03304143
1.05    1.1    52227181.66946099
1.1    1.15    52002781.75181568
1.15    1.2    47992305.39939145
1.2    1.25    43635498.63013732
1.25    1.3    42962213.52158421
1.3    1.35    41745597.23168033
1.35    1.4    39121552.16959943
1.4    1.45    35714668.06427627
1.45    1.5    33788533.2063136
1.5    1.55    31928933.05196618
1.55    1.6    30323351.21443596
1.6    1.65    27313029.30667085
1.65    1.7    25794894.29897236
1.7    1.75    24779034.42074658
1.75    1.8    24836862.85140641
1.8    1.85    21177880.93065329
1.85    1.9    22584370.791041
1.9    1.95    20820966.41728934
1.95    2    20633738.87093903
2    2.05    17508272.23555752
2.05    2.1    15110760.98155217
2.1    2.15    15640392.58634072
2.15    2.2    15043970.21108528
2.2    2.25    13851808.30551209
2.25    2.3    13302715.61999964
2.3    2.35    11669350.52906754
2.35    2.4    10946345.77348955
2.4    2.45    11345212.57271226
2.45    2.5    9612749.610199258
2.5    2.55    9980248.220097259
2.55    2.6    8389945.038047645
2.6    2.65    8252053.03844476
2.65    2.7    7542833.21504621
2.7    2.75    6978333.840627335
2.75    2.8    6282386.815704945
2.8    2.85    6005450.515666839
2.85    2.9    5521996.299788943
2.9    2.95    5406424.794086495
2.95    3    4855881.063081476
3    3.05    4419628.503520753
3.05    3.1    4361159.905731849
3.1    3.15    3833619.513564947
3.15    3.2    3718517.463757155
3.2    3.25    3292166.155792802
3.25    3.3    3059358.709852308
3.3    3.35    2862656.689991677
3.35    3.4    2507107.866503088
3.4    3.45    2447956.423776502
3.45    3.5    2191334.760634395
3.5    3.55    1907527.333410877
3.55    3.6    1782011.898303454
3.6    3.65    1830067.11079273
3.65    3.7    1505971.832246057
3.7    3.75    1713556.69330097
3.75    3.8    1262622.967580115
3.8    3.85    1118969.463815549
3.85    3.9    1066006.303336694
3.9    3.95    908397.1561582823
3.95    4    919066.6083095409
4    4.05    761969.5948343879
4.05    4.1    715493.4612634992
4.1    4.15    706018.9877531804
4.15    4.2    688008.9525218537
4.2    4.25    601074.2563933879
4.25    4.3    485417.3950737274
4.3    4.35    494507.7683066009
4.35    4.4    491947.0997902986
4.4    4.45    565054.1859307311
4.45    4.5    327936.2813211333
4.5    4.55    301732.1068376343
4.55    4.6    325546.3240392467
4.6    4.65    257603.252740024
4.65    4.7    210102.8517626139
4.7    4.75    146256.8500894739
4.75    4.8    191538.0050194205
4.8    4.85    128374.8482839621
4.85    4.9    159486.9707570348
4.9    4.95    172845.1248504127
4.95    5    79210.01277095631
5    5.05    119497.8640941126
5.05    5.1    129612.504733507
5.1    5.15    65169.01373989755
5.15    5.2    38410.02774453667
5.2    5.25    51213.37032604803
5.25    5.3    34142.24688403217
5.3    5.35    21338.90430252033
5.35    5.4    29874.46602352801
5.4    5.45    29874.46602352816
5.45    5.5    29874.46602352816
5.5    5.55    29874.46602352816
5.55    5.6    25606.6851630242
5.6    5.65    12803.34258151229
5.65    5.7    4267.780860504174
5.7    5.75    12803.34258151191
5.75    5.8    8535.561721008042
5.8    5.85    17071.12344201593
5.85    5.9    17071.12344201608
5.9    5.95    12803.34258151214
5.95    6    8535.561721008118
6    6.05    0
6.05    6.1    0
6.1    6.15    4267.780860503945
6.15    6.2    7.581101720617832e-11
6.2    6.25    0
6.25    6.3    0
6.3    6.35    0
6.35    6.4    0
6.4    6.45    0
6.45    6.5    0
6.5    6.55    0
6.55    6.6    0
6.6    6.65    0
6.65    6.7    0
6.7    6.75    0
6.75    6.8    0
6.8    6.85    0
6.85    6.9    0
6.9    6.95    0
6.95    7    0
7    7.05    0
7.05    7.1    0
7.1    7.15    0
7.15    7.2    0
7.2    7.25    0
7.25    7.3    0
7.3    7.35    0
7.35    7.4    0
7.4    7.45    0
7.45    7.5    0
7.5    7.55    0
7.55    7.6    0
7.6    7.65    0
7.65    7.7    0
7.7    7.75    0
7.75    7.8    0
7.8    7.85    0
7.85    7.9    0
7.9    7.95    0
7.95    8    0
