Achilles
MINERvA Flux
units: v/m^2/POT/500MeV
lower edge      upper edge   value  
0    0.05    4601094.545709385
0.05    0.1    11702468.50854505
0.1    0.15    11208302.16270729
0.15    0.2    11945091.85046471
0.2    0.25    9581296.065257343
0.25    0.3    7684779.606466565
0.3    0.35    9009328.074332593
0.35    0.4    7832359.468622797
0.4    0.45    9352286.944282694
0.45    0.5    8226275.642047319
0.5    0.55    9626705.253613107
0.55    0.6    6655006.762635557
0.6    0.65    7132486.08530874
0.65    0.7    6971846.813719369
0.7    0.75    7002873.580575233
0.75    0.8    7202520.369229611
0.8    0.85    5454351.973149958
0.85    0.9    4514800.016709997
0.9    0.95    4550905.442789858
0.95    1    5038542.083911047
1    1.05    4329578.327364119
1.05    1.1    4396625.164682638
1.1    1.15    4389626.004071412
1.15    1.2    4248831.913483384
1.2    1.25    4613129.687736007
1.25    1.3    3541959.369558103
1.3    1.35    3156834.82470622
1.35    1.4    3496422.147776524
1.4    1.45    3597141.77608442
1.45    1.5    3073698.453543601
1.5    1.55    2737568.032970305
1.55    1.6    3200366.189483361
1.6    1.65    2720240.842676658
1.65    1.7    2661046.722141467
1.7    1.75    2572575.624903219
1.75    1.8    2563997.385373606
1.8    1.85    2508985.690081709
1.85    1.9    2534464.341818918
1.9    1.95    2273276.153156072
1.95    2    2205973.248985923
2    2.05    2103375.797099407
2.05    2.1    1849656.224942443
2.1    2.15    1551381.020601817
2.15    2.2    2020708.881831444
2.2    2.25    1429919.977311872
2.25    2.3    1389077.314476849
2.3    2.35    1366287.364681757
2.35    2.4    1325359.346229524
2.4    2.45    1436193.615176812
2.45    2.5    1012573.686963184
2.5    2.55    1146966.106260455
2.55    2.6    1049532.669215149
2.6    2.65    1040314.26255646
2.65    2.7    829998.0217508239
2.7    2.75    873187.9640591227
2.75    2.8    719761.2421240032
2.8    2.85    884028.1274448031
2.85    2.9    681777.9924655174
2.9    2.95    582722.79869322
2.95    3    545678.4608240442
3    3.05    495916.1359905673
3.05    3.1    607390.5720669323
3.1    3.15    482216.5594283494
3.15    3.2    262340.4894951842
3.2    3.25    432198.1677432423
3.25    3.3    381411.5755032444
3.3    3.35    377314.5058771605
3.35    3.4    300110.3501106428
3.4    3.45    348506.985068758
3.45    3.5    276594.8775692656
3.5    3.55    232081.9231942087
3.55    3.6    196616.6642434203
3.6    3.65    246250.955651082
3.65    3.7    174808.3040462454
3.7    3.75    222180.6715978394
3.75    3.8    202164.7793620755
3.8    3.85    112370.6700570709
3.85    3.9    143696.1815731704
3.9    3.95    171479.4349750513
3.95    4    143226.725678515
4    4.05    85526.32844450058
4.05    4.1    76820.05548907239
4.1    4.15    89623.39807058423
4.15    4.2    81087.83634957657
4.2    4.25    67516.29321317386
4.25    4.3    55481.15118655228
4.3    4.35    49250.19113021641
4.35    4.4    49079.47989579625
4.4    4.45    34142.24688403244
4.45    4.5    29874.46602352823
4.5    4.55    25606.68516302413
4.55    4.6    46945.58946554423
4.6    4.65    21338.90430252056
4.65    4.7    34142.24688403195
4.7    4.75    29874.46602352823
4.75    4.8    25606.68516302413
4.8    4.85    12803.34258151229
4.85    4.9    25606.6851630239
4.9    4.95    17071.12344201624
4.95    5    3.032440688247133e-10
5    5.05    29234.29889445255
5.05    5.1    4267.780860504466
5.1    5.15    21338.9043025198
5.15    5.2    8535.561721008271
5.2    5.25    8535.561721008042
5.25    5.3    21338.90430252011
5.3    5.35    4267.780860504325
5.35    5.4    4267.780860504021
5.4    5.45    8535.561721007967
5.45    5.5    17071.12344201593
5.5    5.55    0
5.55    5.6    4267.780860503945
5.6    5.65    4267.780860504021
5.65    5.7    4267.780860504021
5.7    5.75    4267.780860504021
5.75    5.8    0
5.8    5.85    0
5.85    5.9    0
5.9    5.95    0
5.95    6    0
6    6.05    0
6.05    6.1    0
6.1    6.15    0
6.15    6.2    0
6.2    6.25    0
6.25    6.3    0
6.3    6.35    0
6.35    6.4    0
6.4    6.45    0
6.45    6.5    0
6.5    6.55    0
6.55    6.6    0
6.6    6.65    0
6.65    6.7    0
6.7    6.75    0
6.75    6.8    0
6.8    6.85    0
6.85    6.9    0
6.9    6.95    0
6.95    7    0
7    7.05    0
7.05    7.1    0
7.1    7.15    0
7.15    7.2    0
7.2    7.25    0
7.25    7.3    0
7.3    7.35    0
7.35    7.4    0
7.4    7.45    0
7.45    7.5    0
7.5    7.55    0
7.55    7.6    0
7.6    7.65    0
7.65    7.7    0
7.7    7.75    0
7.75    7.8    0
7.8    7.85    0
7.85    7.9    0
7.9    7.95    0
7.95    8    0
