Achilles
microboone NC1pi0 Flux
units: v/m^2/POT/500MeV
lower edge      upper edge   value 
0.0     0.05    1966671691.621235
0.05    0.1    7397523172.140631
0.1     0.15    9498185770.235783
0.15    0.2    11469451087.78622
0.2     0.25    14239791666.05119
0.25    0.3    15614317896.32853
0.3     0.35    16688274008.46313
0.35    0.4    17457996795.43118
0.4     0.45    18528103369.2296
0.45    0.5    19304037569.81765
0.5     0.55    19654515458.76559
0.55    0.6    19712262332.13317
0.6     0.65    19547178764.26691
0.65    0.7    19297508078.49012
0.7     0.75    19008491568.6595
0.75    0.8    18625070636.57151
0.8     0.85    17915985888.43719
0.85    0.9    17242852798.23833
0.9     0.95    16465421801.54689
0.95    1.0    15589518547.27089
1.0     1.05    14737764232.24939
1.05    1.1    13826185658.84864
1.1     1.15    12883459881.81615
1.15    1.2    12007069972.48863
1.2     1.25    11027305704.44674
1.25    1.3    10090379713.57025
1.3     1.35    9153347326.916904
1.35    1.4    8232283055.742179
1.4     1.45    7257610164.911256
1.45    1.5    6351096508.480142
1.5     1.55    5515606151.506511
1.55    1.6    4770560953.808155
1.6     1.65    4044164251.357857
1.65    1.7    3424813436.818405
1.7     1.75    2881496552.533521
1.75    1.8    2381814996.167539
1.8     1.85    1960650364.960767
1.85    1.9    1608423069.96029
1.9     1.95    1293330248.360761
1.95    2.0    1054915706.57012
2.0    2.05    850421145.6362952
2.05    2.1    688106343.28109
2.1    2.15    564602484.0044566
2.15    2.2    461384496.7808228
2.2    2.25    382627039.4923159
2.25    2.3    328486270.2406222
2.3    2.35    283677089.1960376
2.35    2.4    252689372.535047
2.4    2.45    223936564.6772768
2.45    2.5    209205081.3807973
2.5    2.55    195935355.7068494
2.55    2.6    184001786.8647081
2.6    2.65    174518308.3367735
2.65    2.7    162841019.7353055
2.7    2.75    159275118.1151199
2.75    2.8    155023810.8887374
2.8    2.85    145000202.0150974
2.85    2.9    138757505.5613951
2.9    2.95    136390039.4846478
2.95    3.0    132467394.0623327
3.0    3.05    130313103.6395675
3.05    3.1    125313142.2946354
3.1    3.15    118151848.6885183
3.15    3.2    117296201.3037958
3.2    3.25    114310077.7135097
3.25    3.3    110517770.3186744
3.3    3.35    105471503.5514059
3.35    3.4    103464622.2795625
3.4    3.45    100413372.3533452
3.45    3.5    94281936.94667621
3.5    3.55    93181532.32960387
3.55    3.6    89463313.61050695
3.6    3.65    84145274.55804148
3.65    3.7    84532447.63770641
3.7    3.75    77909363.87590744
3.75    3.8    76470865.65906596
3.8    3.85    72984430.11850299
3.85    3.9    69984521.59603751
3.9    3.95    67344984.48943301
3.95    4.0    64121742.99453732
4.0    4.05    60697360.98768611
4.05    4.1    56724995.91834617
4.1    4.15    55718311.76897051
4.15    4.2    53404278.30859663
4.2    4.25    50134304.61327848
4.25    4.3    49136369.41466676
4.3    4.35    44983562.57054473
4.35    4.4    41903377.09009322
4.4    4.45    42227899.14672587
4.45    4.5    39671967.86717867
4.5    4.55    36472967.36757063
4.55    4.6    35003741.12853351
4.6    4.65    33034672.3951142
4.65    4.7    31396057.93372368
4.7    4.75    30905775.26846895
4.75    4.8    28538607.93638178
4.8    4.85    26148095.84298771
4.85    4.9    24593172.56427166
4.9    4.95    23173367.22759918
4.95    5.0    21524467.41433485
5.0    5.05    20559564.83958346
5.05    5.1    19990840.36211271
5.1    5.15    18577650.08577403
5.15    5.2    17155156.04715943
5.2    5.25    15889246.88831673
5.25    5.3    15427046.22112412
5.3    5.35    14770704.20258722
5.35    5.4    13179974.24245157
5.4    5.45    12539679.07995014
5.45    5.5    11931306.91828529
5.5    5.55    10346637.20697153
5.55    5.6    10427682.3655125
5.6    5.65    9419163.070366811
5.65    5.7    8495487.258727927
5.7    5.75    8292639.634428157
5.75    5.8    7433407.313782878
5.8    5.85    6845520.50024846
5.85    5.9    5981935.043125478
5.9    5.95    5172337.013887864
5.95    6.0    4816233.378887399
6.0    6.05    4288778.342337701
6.05    6.1    4056226.963248841
6.1    6.15    3516310.006586483
6.15    6.2    3107883.378236245
6.2    6.25    2690665.121313373
6.25    6.3    2115069.516657188
6.3    6.35    2196200.030815368
6.35    6.4    1462440.467468926
6.4    6.45    1232492.43470496
6.45    6.5    1073517.597651184
6.5    6.55    851038.1813931069
6.55    6.6    644861.6880221613
6.6    6.65    417303.6125400873
6.65    6.7    248768.9463587825
6.7    6.75    119967.3199887703
6.75    6.8    67089.51512712322
6.8    6.85    8535.561721009082
6.85    6.9    8535.561721008042
6.9    6.95    8535.561721008042
6.95    7.0    8535.561721008042
7.0    7.05    4267.780860504021
7.05    7.1    7.581101720617697e-11
7.1    7.15    0
7.15    7.2    0
7.2    7.25    0
7.25    7.3    0
7.3    7.35    0
7.35    7.4    0
7.4    7.45    0
7.45    7.5    0
7.5    7.55    0
7.55    7.6    0
7.6    7.65    0
7.65    7.7    0
7.7    7.75    0
7.75    7.8    0
7.8    7.85    0
7.85    7.9    0
7.9    7.95    0
7.95    8.0    0
