Achilles
MINERvA Flux
units: v/m^2/POT/500MeV
lower edge      upper edge   value   
0    0.05    2205525772.1627
0.05    0.1    4952151529.842294
0.1    0.15    2813774381.571637
0.15    0.2    1726651269.248403
0.2    0.25    1391438549.59354
0.25    0.3    1196923895.457344
0.3    0.35    1127031088.471998
0.35    0.4    1099810285.909723
0.4    0.45    1006735064.001354
0.45    0.5    916960757.1995428
0.5    0.55    833155326.031423
0.55    0.6    744726906.6017798
0.6    0.65    691888365.3240516
0.65    0.7    657686284.1523552
0.7    0.75    598756851.3861328
0.75    0.8    567660605.0578595
0.8    0.85    499773868.4659942
0.85    0.9    439820979.1716144
0.9    0.95    430472874.6525749
0.95    1    401157658.6330072
1    1.05    377305586.2151621
1.05    1.1    333345864.2730522
1.1    1.15    315984275.6656703
1.15    1.2    294535219.9391406
1.2    1.25    280556317.1196027
1.25    1.3    259107346.7486902
1.3    1.35    238201280.7810424
1.35    1.4    216242780.0531943
1.4    1.45    194585456.620672
1.45    1.5    181610122.4704816
1.5    1.55    163661372.5723115
1.55    1.6    154356287.284346
1.6    1.65    133089935.2564544
1.65    1.7    120237982.6509412
1.7    1.75    103874926.7314913
1.75    1.8    95342864.59078892
1.8    1.85    80537249.94076279
1.85    1.9    70529645.24534969
1.9    1.95    61124139.07373651
1.95    2    54346561.64478728
2    2.05    46885712.50007137
2.05    2.1    39456871.71180922
2.1    2.15    32431506.92609913
2.15    2.2    28882164.29565236
2.2    2.25    25030620.10247329
2.25    2.3    21103450.8324461
2.3    2.35    17733781.77622655
2.35    2.4    13891029.21162012
2.4    2.45    12481594.58243868
2.45    2.5    10794455.45266422
2.5    2.55    8606065.460823569
2.55    2.6    7583633.200072621
2.6    2.65    6307609.400590523
2.65    2.7    5624849.818527097
2.7    2.75    4627469.431427301
2.75    2.8    3484600.394792928
2.8    2.85    3234380.402941578
2.85    2.9    3170449.045651228
2.9    2.95    2053015.98294547
2.95    3    2146437.705981893
3    3.05    1624744.173593881
3.05    3.1    1470335.862060845
3.1    3.15    1500850.495213449
3.15    3.2    1055763.629271489
3.2    3.25    896916.8256435251
3.25    3.3    735338.6422648428
3.3    3.35    514737.0495853901
3.35    3.4    621388.8932893856
3.4    3.45    709902.6683362381
3.45    3.5    367669.3211324214
3.5    3.55    793935.2734795631
3.55    3.6    261017.477428426
3.6    3.65    292855.122647786
3.65    3.7    391654.2495684533
3.7    3.75    413804.03223447
3.75    3.8    392635.83916637
3.8    3.85    98671.09349485299
3.85    3.9    303567.2526076511
3.9    3.95    158932.159245171
3.95    4    126326.313470919
4    4.05    98372.3488346177
4.05    4.1    26076.14105767957
4.1    4.15    72808.34148019778
4.15    4.2    233276.901835147
4.2    4.25    85355.61721008306
4.25    4.3    46945.58946554423
4.3    4.35    26716.30818675517
4.35    4.4    55481.15118655178
4.4    4.45    51213.37032604833
4.45    4.5    25606.68516302459
4.5    4.55    25606.68516302413
4.55    4.6    12803.34258151206
4.6    4.65    8535.561721008118
4.65    4.7    14809.19958594884
4.7    4.75    2.630642297054388e-10
4.75    4.8    268870.1942117533
4.8    4.85    8535.561721012667
4.85    4.9    2944.768793747874
4.9    4.95    5.230960187226304e-11
4.95    5    4267.780860503945
5    5.05    0
5.05    5.1    4267.780860503945
5.1    5.15    4267.780860504021
5.15    5.2    7.581101720617832e-11
5.2    5.25    0
5.25    5.3    8535.561721008042
5.3    5.35    1.516220344123539e-10
5.35    5.4    0
5.4    5.45    4267.780860503945
5.45    5.5    7.581101720617832e-11
5.5    5.55    4267.780860504021
5.55    5.6    7.581101720617697e-11
5.6    5.65    0
5.65    5.7    0
5.7    5.75    0
5.75    5.8    4267.780860504021
5.8    5.85    7.581101720617697e-11
5.85    5.9    0
5.9    5.95    0
5.95    6    0
6    6.05    0
6.05    6.1    0
6.1    6.15    0
6.15    6.2    0
6.2    6.25    0
6.25    6.3    0
6.3    6.35    0
6.35    6.4    0
6.4    6.45    0
6.45    6.5    0
6.5    6.55    0
6.55    6.6    0
6.6    6.65    0
6.65    6.7    0
6.7    6.75    0
6.75    6.8    0
6.8    6.85    0
6.85    6.9    0
6.9    6.95    0
6.95    7    0
7    7.05    0
7.05    7.1    0
7.1    7.15    0
7.15    7.2    0
7.2    7.25    0
7.25    7.3    0
7.3    7.35    0
7.35    7.4    0
7.4    7.45    0
7.45    7.5    0
7.5    7.55    0
7.55    7.6    0
7.6    7.65    0
7.65    7.7    0
7.7    7.75    0
7.75    7.8    0
7.8    7.85    0
7.85    7.9    0
7.9    7.95    0
7.95    8    0
