Achilles
MiniBooNE Flux
units: v/cm^2/POT/50MeV
  lower edge      upper edge   value        error
  0.000           50.0         2.03829e-12  2.03829e-12
  50.00           100.0        7.66959e-12  7.66959e-12
  100.0           150.0        9.21272e-12  9.21272e-12
  150.0           200.0        1.10085e-11  1.10085e-11
  200.0           250.0        1.28816e-11  1.28816e-11
  250.0           300.0        1.41552e-11  1.41552e-11
  300.0           350.0        1.43794e-11  1.43794e-11
  350.0           400.0        1.45308e-11  1.45308e-11
  400.0           450.0        1.44549e-11  1.44549e-11
  450.0           500.0        1.41552e-11  1.41552e-11
  500.0           550.0        1.37172e-11  1.37172e-11
  550.0           600.0        1.31543e-11  1.31543e-11
  600.0           650.0        1.25486e-11  1.25486e-11
  650.0           700.0        1.18461e-11  1.18461e-11
  700.0           750.0        1.13006e-11  1.13006e-11
  750.0           800.0        1.05016e-11  1.05016e-11
  800.0           850.0        9.75910e-12  9.75910e-12
  850.0           900.0        8.88106e-12  8.88106e-12
  900.0           950.0        8.21001e-12  8.21001e-12
  950.0           1000.        7.43231e-12  7.43231e-12
  1000.           1050.        6.72828e-12  6.72828e-12
  1050.           1100.        5.99598e-12  5.99598e-12
  1100.           1150.        5.34338e-12  5.34338e-12
  1150.           1200.        4.76181e-12  4.76181e-12
  1200.           1250.        4.15556e-12  4.15556e-12
  1250.           1300.        3.60754e-12  3.60754e-12
  1300.           1350.        3.06687e-12  3.06687e-12
  1350.           1400.        2.59361e-12  2.59361e-12
  1400.           1450.        2.21647e-12  2.21647e-12
  1450.           1500.        1.85490e-12  1.85490e-12
  1500.           1550.        1.53614e-12  1.53614e-12
  1550.           1600.        1.27884e-12  1.27884e-12
  1600.           1650.        1.05907e-12  1.05907e-12
  1650.           1700.        8.72491e-13  8.72491e-13
  1700.           1750.        7.11290e-13  7.11290e-13
  1750.           1800.        5.79872e-13  5.79872e-13
  1800.           1850.        4.75218e-13  4.75218e-13
  1850.           1900.        3.85393e-13  3.85393e-13
  1900.           1950.        3.10914e-13  3.10914e-13
  1950.           2000.        2.50828e-13  2.50828e-13
  2000.           2050.        2.01297e-13  2.01297e-13
  2050.           2100.        1.61547e-13  1.61547e-13
  2100.           2150.        1.32391e-13  1.32391e-13
  2150.           2200.        1.04592e-13  1.04592e-13
  2200.           2250.        8.66177e-14  8.66177e-14
  2250.           2300.        7.02453e-14  7.02453e-14
  2300.           2350.        5.60795e-14  5.60795e-14
  2350.           2400.        4.54794e-14  4.54794e-14
  2400.           2450.        3.70767e-14  3.70767e-14
  2450.           2500.        2.95997e-14  2.95997e-14
  2500.           2550.        2.36306e-14  2.36306e-14
  2550.           2600.        1.92646e-14  1.92646e-14
  2600.           2650.        1.58707e-14  1.58707e-14
  2650.           2700.        1.29384e-14  1.29384e-14
  2700.           2750.        1.01682e-14  1.01682e-14
  2750.           2800.        8.42080e-15  8.42080e-15
  2800.           2850.        6.79343e-15  6.79343e-15
  2850.           2900.        5.95966e-15  5.95966e-15
  2900.           2950.        4.96142e-15  4.96142e-15
  2950.           3000.        3.81829e-15  3.81829e-15
  3000.           3050.        3.22908e-15  3.22908e-15
  3050.           3100.        2.77403e-15  2.77403e-15
  3100.           3150.        2.30938e-15  2.30938e-15
  3150.           3200.        2.23793e-15  2.23793e-15
  3200.           3250.        2.20304e-15  2.20304e-15
  3250.           3300.        1.77729e-15  1.77729e-15
  3300.           3350.        1.58385e-15  1.58385e-15
  3350.           3400.        1.51092e-15  1.51092e-15
  3400.           3450.        1.33944e-15  1.33944e-15
  3450.           3500.        1.22533e-15  1.22533e-15
  3500.           3550.        1.02009e-15  1.02009e-15
  3550.           3600.        9.43013e-16  9.43013e-16
  3600.           3650.        7.93326e-16  7.93326e-16
  3650.           3700.        7.18177e-16  7.18177e-16
  3700.           3750.        7.56796e-16  7.56796e-16
  3750.           3800.        6.04179e-16  6.04179e-16
  3800.           3850.        6.43372e-16  6.43372e-16
  3850.           3900.        5.32810e-16  5.32810e-16
  3900.           3950.        5.00352e-16  5.00352e-16
  3950.           4000.        4.77313e-16  4.77313e-16
  4000.           4050.        4.92551e-16  4.92551e-16
  4050.           4100.        4.38942e-16  4.38942e-16
  4100.           4150.        2.35350e-16  2.35350e-16
  4150.           4200.        2.11944e-16  2.11944e-16
  4200.           4250.        1.90865e-16  1.90865e-16
  4250.           4300.        1.71882e-16  1.71882e-16
  4300.           4350.        1.30218e-16  1.30218e-16
  4350.           4400.        1.23573e-16  1.23573e-16
  4400.           4450.        1.05604e-16  1.05604e-16
