bin,low,high,numu_flux,numubar_flux,nue_flux,nuebar_flux
0,0.0,0.05,6378364.024503231,8442571.13397611,86627.74667160434,17824.92208155684
1,0.05,0.1,27200721.5069831,25933620.324822217,511344.06135797314,60161.434099879116
2,0.1,0.15000000000000002,53724022.40297377,18908714.372553825,1080180.6686473712,112020.39741355926
3,0.15000000000000002,0.2,83498968.27029419,14901295.925061464,1576031.0529698431,145618.65847094357
4,0.2,0.25,123271203.55471826,13614844.800789833,1911562.1659505963,183892.1755785942
5,0.25,0.30000000000000004,170534116.38456345,13449050.535755873,2373018.9000894725,195642.52240237594
6,0.30000000000000004,0.35000000000000003,222715484.30177355,13389727.403158665,2520905.2562653422,228991.27401036024
7,0.35000000000000003,0.4,274576588.2404609,13465371.62667656,2649232.0818415284,291355.3695824146
8,0.4,0.45,332787013.4111843,13767596.952280998,2732051.9259162545,253488.806961596
9,0.45,0.5,407180017.21176434,13948341.918376923,2566936.933930695,242890.39125424623
10,0.5,0.55,505154549.2294531,14016532.191310883,2670710.082537055,256740.06117248535
11,0.55,0.6000000000000001,561554710.8563066,13335114.28797245,2588188.478882849,262491.8922332525
12,0.6000000000000001,0.65,556157566.4390445,13848201.413311958,2449295.45801425,268571.3984282017
13,0.65,0.7000000000000001,519512191.5317278,12707975.368020058,2349917.7410205603,281349.517064929
14,0.7000000000000001,0.75,406649044.5353961,11815275.706471443,2223556.3393599987,239818.9415280819
15,0.75,0.8,288804098.61116934,11234453.648285389,2225932.423892021,235058.6264103651
16,0.8,0.8500000000000001,190462291.3527093,10162640.262712479,2002929.034020543,236253.5272809267
17,0.8500000000000001,0.9,121459759.60212898,8990632.776686192,1742971.0526959896,233801.94217157364
18,0.9,0.9500000000000001,84036482.46430588,8338830.3026742935,1544066.8084647655,227954.0070258379
19,0.9500000000000001,1.0,63290401.762898445,7995649.305726051,1572190.2775921822,224953.88573098183
20,1.0,1.05,50385650.0005188,7736762.108473778,1453069.7569862604,200202.07177340984
21,1.05,1.1,41661445.70780182,6843358.265202522,1173515.03784585,189072.88174676895
22,1.1,1.1500000000000001,36056984.481728554,6288732.245064735,1050712.111636281,198443.9730937481
23,1.1500000000000001,1.2000000000000002,30720128.58303547,5620230.040060997,1036954.5008673668,205131.94793367386
24,1.2000000000000002,1.25,27703365.129730225,5280181.1149663925,953399.4608469009,185633.8691754341
25,1.25,1.3,23549012.8179121,4866299.025716782,845020.0834574699,178254.38748395443
26,1.3,1.35,21587680.529895782,4586858.9117946625,833193.7206652164,177302.5847121477
27,1.35,1.4000000000000001,18893251.189883232,4347827.752791405,722214.751057148,186193.61789560318
28,1.4000000000000001,1.4500000000000002,16922398.350699425,3941961.711572647,686363.3880820274,162370.29030942917
29,1.4500000000000002,1.5,15524732.219670296,3911337.332637787,647673.1590101719,161228.60351347923
30,1.5,1.55,14777564.17996025,3070935.8755464554,602099.6811289787,160843.0354566574
31,1.55,1.6,13417616.449791908,2981331.40914917,623015.620901823,150222.94141674042
32,1.6,1.6500000000000001,12665113.963724136,2875025.0031528473,592316.6667881012,152708.71279907227
33,1.6500000000000001,1.7000000000000002,11553584.75473404,2776868.2272319794,533018.1193418503,145537.9601225853
34,1.7000000000000002,1.75,10585138.960391045,2325710.347964287,539931.1091184616,162337.19036722183
35,1.75,1.8,10009864.94965458,2352652.372284889,548293.3192532063,142820.67514896393
36,1.8,1.85,8973514.117526054,2356139.29299736,504977.52143120766,139928.8040547371
37,1.85,1.9000000000000001,8851748.427149773,2345856.5634584427,537526.4472939968,131902.06832122803
38,1.9000000000000001,1.9500000000000002,8096449.810383797,2229260.0085725784,484572.9978504181,137232.86562728882
39,1.9500000000000002,2.0,8212824.401273727,1958589.827498436,478803.7959110737,120459.82448410988
40,2.0,2.0500000000000003,7771279.25369072,1819606.5200796127,445779.3262667656,120330.41556215286
41,2.0500000000000003,2.1,7289705.46583271,1554256.1068553925,439536.8858678341,121969.21506428719
42,2.1,2.15,7107872.6948452,1665622.4198207855,421691.69706368446,115448.01222157478
43,2.15,2.2,6728160.619949341,1594917.3712511063,424435.2371582985,113577.51009273529
44,2.2,2.25,6483336.15907383,1366483.5366668701,414279.64267754555,106872.06071329117
45,2.25,2.3000000000000003,6305333.490740776,1364538.4000854492,399209.60920906067,99314.70352768898
46,2.3000000000000003,2.35,5825139.111996651,1405989.2110347748,389972.8505587578,102859.26990032196
47,2.35,2.4000000000000004,5868331.010724068,1334956.7120437622,369590.8790593147,92206.9092361927
48,2.4000000000000004,2.45,5978485.474776268,1044141.9143505096,371780.5998249054,94545.66528773308
49,2.45,2.5,5701247.952454567,1237243.9684171677,349484.0179145336,93872.5018529892
50,2.5,2.5500000000000003,5197070.6700258255,1150483.6987276077,333279.6409332752,101914.04601764679
51,2.5500000000000003,2.6,5072270.53387928,1062843.8921804428,338046.2407608032,83988.21230387688
52,2.6,2.6500000000000004,5033361.1375494,1042433.8628406525,334719.34796595573,84464.84691953659
53,2.6500000000000004,2.7,4873244.9535923,913670.9825057983,327046.5595321655,81372.14376831055
54,2.7,2.75,4997832.418638229,994507.0215482712,301842.4950942993,82558.42638278008
55,2.75,2.8000000000000003,4749931.808016777,1099192.3382797241,314355.36106204987,78212.5390985012
56,2.8000000000000003,2.85,4815789.073530197,888273.3568716049,288427.29412555695,71212.80099201202
57,2.85,2.9000000000000004,4436389.841091156,649845.0348768234,281168.30441999435,70919.83345723152
58,2.9000000000000004,2.95,4350669.398103714,718484.9143447876,257703.99343061447,74015.87671494484
59,2.95,3.0,4616841.7584581375,738237.7193164825,252124.82144618034,65731.03872132301
60,3.0,3.0500000000000003,4408507.472056389,665319.7726898193,252549.91690516472,66216.33428311348
61,3.0500000000000003,3.1,4209257.043384552,643900.4937200546,234575.93404889107,68534.94712293148
62,3.1,3.1500000000000004,4292579.659467697,738260.8796834946,232941.29453873634,64082.74544095993
63,3.1500000000000004,3.2,4128526.570622444,621623.2041740417,223202.38807868958,58935.83186733723
64,3.2,3.25,4056019.604406357,619874.1692008972,220146.36141109467,58656.70394825935
65,3.25,3.3000000000000003,3911381.283402443,614744.2436408997,205550.15935266018,54804.25800323486
66,3.3000000000000003,3.35,3984176.1220970154,686310.9735240936,203064.57624053955,54887.6255453825
67,3.35,3.4000000000000004,3975293.9079885483,635264.1963701248,191905.87761199474,52296.32415962219
68,3.4000000000000004,3.45,3861471.5599832535,440541.6103954315,187649.5060750246,54480.894481897354
69,3.45,3.5,3974412.106924057,511437.5546951294,182986.89323425293,51330.83553612232
70,3.5,3.5500000000000003,3888280.9627542496,452862.7746486664,175626.79938709736,47973.249572873116
71,3.5500000000000003,3.6,3749591.9545021057,479542.0850830078,158751.84271609783,46047.17423963547
72,3.6,3.6500000000000004,3715992.037168503,411892.1219482422,156250.69338595867,46092.55859041214
73,3.6500000000000004,3.7,3721577.554362297,365605.88066482544,147992.4858788252,43728.04443728924
74,3.7,3.75,3622517.4624614716,465499.28914260864,146458.86571073532,42477.445565104485
75,3.75,3.8000000000000003,3628821.764526367,432565.533993721,139950.8370039463,40459.0198700428
76,3.8000000000000003,3.85,3742506.2500572205,390901.90270900726,133524.96269738674,38255.94301736355
77,3.85,3.9000000000000004,3464957.9035692215,352573.987493515,132786.42811393738,40259.74105644226
78,3.9000000000000004,3.95,3425637.769710541,262758.7004480362,118817.57594561577,34982.4390283823
79,3.95,4.0,3527146.8381996155,371065.431139946,113535.09759831429,34025.376500964165
80,4.0,4.05,3369241.413836479,385945.4472169876,114535.57641816139,36786.28318607807
81,4.05,4.1000000000000005,3392319.455749035,319272.70435523987,108542.08517193794,33162.42432141304
82,4.1000000000000005,4.15,3235454.180879593,359306.76861763,106036.75253415108,33190.27889096737
83,4.15,4.2,3297425.7176504135,301360.20386600494,102003.52691042423,32994.3815407753
84,4.2,4.25,3077525.4283685684,326024.0518255234,98216.8157582283,30919.791305303574
85,4.25,4.3,3082640.7741146088,313095.17627716064,101207.30386734009,32020.909476995468
86,4.3,4.3500000000000005,2995366.1828250885,253170.45658683777,93618.81419205666,36576.74055933952
87,4.3500000000000005,4.4,2966742.8974866867,305854.57653331757,80719.8286743164,25501.46808719635
88,4.4,4.45,2862046.5232105255,342386.7515230179,80864.70550942421,25738.074039697647
89,4.45,4.5,2822602.5946598053,237836.27015399933,75194.20583081245,24332.066618442535
90,4.5,4.55,2750670.3648576736,239007.07264232635,79085.08163547516,26875.618234872818
91,4.55,4.6000000000000005,2621830.9144439697,211346.22916030884,70986.66137051582,23434.391094207764
92,4.6000000000000005,4.65,2639820.873292923,243020.1834383011,68580.22710967064,23773.187500715256
93,4.65,4.7,2545893.767903328,167910.0466451645,68844.80379605293,22409.871571540833
94,4.7,4.75,2420182.0525951385,191201.5385427475,65601.62011265755,22826.657680273056
95,4.75,4.800000000000001,2281076.193561554,201125.92565441132,61758.05955982208,20584.52748441696
96,4.800000000000001,4.8500000000000005,2247429.8159656525,204328.83050060272,58972.9974963665,21064.271455287933
