q2      dsigma  errorx+     errorx-     errory+     errory-
0.244   1.243   0           0           0.363       0.363
0.956   0.946   0           0           0.080       0.080
0.960   1.036   0           0           0.125       0.125
1.20    0.818   0           0           0.113       0.113
1.24    0.976   0           0           0.113       0.113
1.83    0.782   0           0           0.060       0.060
1.97    1.061   0           0           0.120       0.120
1.97    0.713   0           0           0.083       0.083
2.36    0.556   0           0           0.047       0.047
2.85    0.798   0           0           0.091       0.091
3.75    0.536   0           0           0.061       0.061
4.22    0.706   0           0           0.084       0.084
4.36    0.506   0           0           0.038       0.038
6.67    0.620   0           0           0.071       0.071
8.23    0.340   0           0           0.025       0.025
8.31    0.358   0           0           0.029       0.029
14.98   0.166   0           0           0.013       0.013
16.99   0.108   0           0           0.013       0.013
29.95   0.063   0           0           0.008       0.008
